dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.011,Intermediate,22,0.2,0.045454545454545456,0.07407407407407407,1,0.2,0.2,18.5,221.69999999999982,291.0,0.0,0.045454545454545456,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0825,Intermediate,165,0.579185520361991,0.7757575757575758,0.6632124352331606,6,0.5601102597130936,0.579185520361991,17.0,214.0,291.0,0.012121212121212121,0.7757575757575758,3,0.2727272727272727,1,0.09090909090909091
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.082,Intermediate,164,0.4484848484848485,0.9024390243902439,0.5991902834008096,2,0.38752312979117104,0.4484848484848485,39.0,244.7999999999999,291.0,0.0,0.9024390243902439,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.0165,Intermediate,33,1.0,0.06060606060606061,0.1142857142857143,2,1.0,1.0,14.0,229.39999999999995,291.0,0.06060606060606061,0.06060606060606061,2,0.2222222222222222,2,0.2222222222222222
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0145,Intermediate,29,0.0,0.0,0.0,0,,,37.0,140.79999999999998,162.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2095,Common,419,0.8693790149892934,0.9689737470167065,0.9164785553047404,10,0.8025022193391207,0.8693790149892934,31.5,122.25,162.0,0.0,0.9689737470167065,10,0.625,8,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.059,Intermediate,118,0.53125,0.1440677966101695,0.22666666666666666,1,0.53125,0.53125,34.5,143.25,162.0,0.0,0.1440677966101695,1,0.0625,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.038,Intermediate,76,0.6111111111111112,0.14473684210526316,0.2340425531914894,1,0.6111111111111112,0.6111111111111112,23.0,183.19999999999982,291.0,0.0,0.14473684210526316,1,0.06666666666666667,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.048,Intermediate,96,0.4444444444444444,0.041666666666666664,0.07619047619047618,1,0.4444444444444444,0.4444444444444444,23.0,240.59999999999997,291.0,0.0,0.041666666666666664,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.1065,Common,213,0.49765258215962443,0.9953051643192489,0.6635367762128327,1,0.49765258215962443,0.49765258215962443,218.0,405.2,426.0,0.0,0.9953051643192489,0,0.0,0,0.0
