metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,31,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,304,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
4,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,16,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,135,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,395,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,41,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,45,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,27,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
20,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,130,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,51,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,113,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,216,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,259,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,66,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
