metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,271,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,38,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,39,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,73,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,75,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,31,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,16,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,274,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,113,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,439,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,335,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,24,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,46,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,36,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
