dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0045,Rare,9,0.0,0.0,0.0,0,,,146.5,325.84999999999997,335.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.088,Intermediate,176,0.3841642228739003,0.7443181818181818,0.5067698259187621,2,0.5228855721393034,0.3841642228739003,73.0,316.69999999999993,335.0,0.0,0.7443181818181818,1,0.14285714285714285,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0745,Intermediate,149,0.42567567567567566,0.4228187919463087,0.42424242424242425,2,0.425662100456621,0.42567567567567566,74.0,319.75,335.0,0.0,0.4228187919463087,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.015,Intermediate,30,0.0,0.0,0.0,0,,,75.0,309.0,335.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,31.0,272.5,274.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.207,Common,414,0.8357894736842105,0.9589371980676329,0.8931383577052869,11,0.7955965632202381,0.8357894736842105,12.0,271.3,274.0,0.004830917874396135,0.9589371980676329,10,0.5263157894736842,8,0.42105263157894735
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.0555,Intermediate,111,0.625,0.36036036036036034,0.45714285714285713,9,0.6353096794273265,0.625,14.5,283.1499999999999,335.0,0.02702702702702703,0.36036036036036034,6,0.3333333333333333,3,0.16666666666666666
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.0445,Intermediate,89,0.625,0.056179775280898875,0.10309278350515465,1,0.625,0.625,20.0,307.54999999999995,335.0,0.0,0.056179775280898875,1,0.1,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.041,Intermediate,82,0.6,0.18292682926829268,0.2803738317757009,2,0.5657894736842105,0.6,46.0,313.65,335.0,0.0,0.18292682926829268,1,0.125,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.092,Intermediate,184,0.4191343963553531,1.0,0.5906902086677368,1,0.4191343963553531,0.4191343963553531,439.0,439.0,439.0,0.0,1.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.003,Rare,6,0.75,1.0,0.8571428571428571,1,0.75,0.75,8.0,8.0,8.0,0.0,1.0,1,1.0,1,1.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.0445,Intermediate,89,0.7619047619047619,0.1797752808988764,0.2909090909090909,1,0.7619047619047619,0.7619047619047619,21.0,316.69999999999993,335.0,0.0,0.1797752808988764,1,0.14285714285714285,1,0.14285714285714285
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.028,Intermediate,56,0.7333333333333333,0.7857142857142857,0.7586206896551724,2,0.6944444444444444,0.7333333333333333,30.0,101.44999999999997,113.0,0.0,0.7857142857142857,1,0.25,1,0.25
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.01,Intermediate,20,0.4,0.2,0.26666666666666666,1,0.4,0.4,39.0,322.8,335.0,0.0,0.2,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.017,Intermediate,34,0.0,0.0,0.0,0,,,355.0,430.59999999999997,439.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.0525,Intermediate,105,0.8672566371681416,0.9333333333333333,0.8990825688073395,1,0.8672566371681416,0.8672566371681416,30.0,101.44999999999997,113.0,0.0,0.9333333333333333,1,0.25,1,0.25
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.0285,Intermediate,57,1.0,0.017543859649122806,0.034482758620689655,1,1.0,1.0,220.0,417.09999999999997,439.0,0.017543859649122806,0.017543859649122806,1,0.5,1,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.049,Intermediate,98,0.0,0.0,0.0,0,,,222.5,417.34999999999997,439.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.003,Rare,6,0.0,0.0,0.0,0,,,37.0,378.84999999999985,439.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.004,Rare,8,0.0,0.0,0.0,0,,,74.0,397.0,439.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.015,Intermediate,30,0.0,0.0,0.0,0,,,439.0,439.0,439.0,0.0,0.0,0,0.0,0,0.0
