metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,55,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
4,22,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,398,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,178,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,70,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,22,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,57,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,177,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,31,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,116,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,29,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,74,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,29,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,84,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,35,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,49,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,383,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
