dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0055,Rare,11,0.0,0.0,0.0,0,,,79.0,310.89999999999986,383.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.088,Intermediate,176,0.5211267605633803,0.8409090909090909,0.6434782608695652,4,0.4868853459370701,0.5211267605633803,30.0,143.44999999999996,177.0,0.0,0.8409090909090909,2,0.16666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.079,Intermediate,158,0.4340425531914894,0.6455696202531646,0.5190839694656488,5,0.6359967715899919,0.4340425531914894,20.0,143.44999999999996,177.0,0.006329113924050633,0.6455696202531646,2,0.16666666666666666,2,0.16666666666666666
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.0235,Intermediate,47,0.0,0.0,0.0,0,,,61.5,155.64999999999998,177.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.02,Intermediate,40,0.0,0.0,0.0,0,,,22.0,265.3999999999997,398.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.222,Common,444,0.8545454545454545,0.9527027027027027,0.9009584664536742,8,0.7501247008156555,0.8545454545454545,19.0,217.59999999999977,398.0,0.038288288288288286,0.9527027027027027,7,0.5833333333333334,4,0.3333333333333333
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.051,Intermediate,102,0.4431818181818182,0.7647058823529411,0.5611510791366906,4,0.4314136634690174,0.4431818181818182,30.0,254.3499999999999,398.0,0.0,0.7647058823529411,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.042,Intermediate,84,0.5,0.011904761904761904,0.023255813953488372,1,0.5,0.5,52.0,232.25,398.0,0.0,0.011904761904761904,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.036,Intermediate,72,0.0,0.0,0.0,0,,,49.0,152.59999999999997,177.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.087,Intermediate,174,0.4292803970223325,0.9942528735632183,0.5996533795493935,3,0.41466540422154,0.4292803970223325,10.0,327.4999999999999,383.0,0.0,0.9942528735632183,0,0.0,0,0.0
