metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,212,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,32,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,27,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,161,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,52,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,22,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,36,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,372,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,125,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,194,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,47,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,24,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,446,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
