metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,44,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,79,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,331,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,36,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,23,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,29,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,47,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,16,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,35,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,190,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,212,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,81,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,325,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,39,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,33,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,23,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,285,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
