dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.005,Rare,10,0.0,0.0,0.0,0,,,55.0,288.3999999999999,325.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0945,Intermediate,189,0.4090909090909091,0.9047619047619048,0.5634266886326195,9,0.39552234483268967,0.4090909090909091,8.0,154.19999999999973,325.0,0.0,0.9047619047619048,2,0.13333333333333333,1,0.06666666666666667
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.073,Intermediate,146,0.5363636363636364,0.4041095890410959,0.46093749999999994,5,0.500207039337474,0.5363636363636364,33.0,279.79999999999995,325.0,0.0,0.4041095890410959,2,0.2222222222222222,1,0.1111111111111111
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.0195,Intermediate,39,0.5,0.02564102564102564,0.048780487804878044,1,0.5,0.5,26.0,194.9499999999997,325.0,0.0,0.02564102564102564,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.015,Intermediate,30,0.0,0.0,0.0,0,,,23.0,266.0,285.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2345,Common,469,0.8108108108108109,0.9594882729211087,0.8789062499999999,7,0.7706859121046764,0.8108108108108109,17.5,223.24999999999997,285.0,0.021321961620469083,0.9594882729211087,6,0.42857142857142855,5,0.35714285714285715
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.054,Intermediate,108,0.5072463768115942,0.32407407407407407,0.3954802259887006,7,0.541921768707483,0.5072463768115942,16.0,199.4999999999998,285.0,0.0,0.32407407407407407,4,0.21052631578947367,1,0.05263157894736842
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.035,Intermediate,70,0.6666666666666666,0.02857142857142857,0.0547945205479452,1,0.6666666666666666,0.6666666666666666,29.0,293.0,325.0,0.0,0.02857142857142857,1,0.058823529411764705,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.046,Intermediate,92,0.5,0.03260869565217391,0.06122448979591836,1,0.5,0.5,18.5,252.5,325.0,0.0,0.03260869565217391,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.0955,Intermediate,191,0.552870090634441,0.9581151832460733,0.7011494252873564,1,0.552870090634441,0.552870090634441,189.0,316.8,331.0,0.0,0.9581151832460733,1,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.004,Rare,8,0.5454545454545454,0.75,0.631578947368421,1,0.5454545454545454,0.5454545454545454,111.5,201.95,212.0,0.0,0.75,1,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.0475,Intermediate,95,0.552,0.7263157894736842,0.6272727272727273,2,0.5297418630751964,0.552,31.0,215.19999999999973,325.0,0.0,0.7263157894736842,1,0.1,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.021,Intermediate,42,0.0,0.0,0.0,0,,,212.0,212.0,212.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.016,Intermediate,32,0.631578947368421,0.375,0.47058823529411764,1,0.631578947368421,0.631578947368421,13.5,242.2499999999999,285.0,0.0,0.375,1,0.1,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0115,Intermediate,23,0.0,0.0,0.0,0,,,308.0,328.7,331.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.0585,Intermediate,117,0.5518867924528302,1.0,0.7112462006079028,1,0.5518867924528302,0.5518867924528302,212.0,212.0,212.0,0.0,1.0,1,1.0,0,0.0
