metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,90,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,31,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,44,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,63,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,80,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,29,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,47,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,322,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,143,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,30,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,252,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,139,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,45,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,54,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,25,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,372,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,30,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,33,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
