dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,1.0,0.06666666666666667,0.125,1,1.0,1.0,109.5,250.75,259.0,0.06666666666666667,0.06666666666666667,1,0.16666666666666666,1,0.16666666666666666
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0905,Intermediate,181,0.3668903803131991,0.9060773480662984,0.5222929936305731,5,0.44971867576165925,0.3668903803131991,21.5,215.49999999999997,226.0,0.0,0.9060773480662984,1,0.125,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0775,Intermediate,155,0.45098039215686275,0.2967741935483871,0.357976653696498,4,0.47265624999999994,0.45098039215686275,20.0,215.49999999999997,226.0,0.0,0.2967741935483871,2,0.25,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.023,Intermediate,46,0.0,0.0,0.0,0,,,64.0,220.0,226.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.021,Intermediate,42,0.5,0.07142857142857142,0.125,1,0.5,0.5,73.0,235.79999999999998,259.0,0.0,0.07142857142857142,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2155,Common,431,0.7735124760076776,0.9350348027842227,0.8466386554621849,10,0.7649796885938756,0.7735124760076776,23.0,224.19999999999993,259.0,0.01160092807424594,0.9350348027842227,8,0.6153846153846154,7,0.5384615384615384
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.053,Intermediate,106,0.31297709923664124,0.7735849056603774,0.4456521739130435,2,0.4877734877734877,0.31297709923664124,75.5,238.69999999999996,259.0,0.0,0.7735849056603774,1,0.125,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.0385,Intermediate,77,0.375,0.11688311688311688,0.17821782178217824,2,0.6739130434782609,0.375,55.0,245.79999999999998,259.0,0.012987012987012988,0.11688311688311688,1,0.1111111111111111,1,0.1111111111111111
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.044,Intermediate,88,0.0,0.0,0.0,0,,,64.0,220.0,226.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.0925,Intermediate,185,0.5242165242165242,0.9945945945945946,0.6865671641791045,2,0.504531976548285,0.5242165242165242,142.0,202.29999999999998,209.0,0.0,0.9945945945945946,1,0.3333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.008,Rare,16,1.0,0.9375,0.967741935483871,1,1.0,1.0,137.0,246.79999999999998,259.0,0.9375,0.9375,1,0.5,1,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.036,Intermediate,72,0.7142857142857143,0.06944444444444445,0.12658227848101267,2,0.75,0.7142857142857143,23.0,227.5,259.0,0.041666666666666664,0.06944444444444445,1,0.09090909090909091,1,0.09090909090909091
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.0195,Intermediate,39,0.37037037037037035,0.5128205128205128,0.43010752688172044,1,0.37037037037037035,0.37037037037037035,95.0,131.9,136.0,0.0,0.5128205128205128,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.0175,Intermediate,35,0.0,0.0,0.0,0,,,84.5,238.69999999999996,259.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0115,Intermediate,23,0.0,0.0,0.0,0,,,142.0,202.29999999999998,209.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.058,Intermediate,116,0.7279411764705882,0.853448275862069,0.7857142857142856,1,0.7279411764705882,0.7279411764705882,95.0,131.9,136.0,0.0,0.853448275862069,1,0.5,1,0.5
