metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,145,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,40,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,30,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,125,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,39,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,37,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,196,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,34,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,65,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,73,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,218,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,39,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,64,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,118,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,28,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,391,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,68,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,115,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
