dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0065,Rare,13,0.0,0.0,0.0,0,,,90.0,176.5,196.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0815,Intermediate,163,0.5260869565217391,0.7423312883435583,0.6157760814249365,5,0.4973007168969283,0.5260869565217391,37.0,116.19999999999999,118.0,0.0,0.7423312883435583,3,0.23076923076923078,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0755,Intermediate,151,0.4878048780487805,0.6622516556291391,0.5617977528089888,5,0.4351233842538191,0.4878048780487805,38.5,116.64999999999999,118.0,0.0,0.6622516556291391,1,0.1,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.0205,Intermediate,41,0.0,0.0,0.0,0,,,38.5,116.95,118.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.018,Intermediate,36,0.0,0.0,0.0,0,,,39.0,181.5,218.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2165,Common,433,0.6750392464678179,0.9930715935334873,0.8037383177570093,9,0.7225263944356267,0.6750392464678179,34.5,185.14999999999992,218.0,0.0,0.9930715935334873,7,0.7,6,0.6
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.0565,Intermediate,113,0.6666666666666666,0.05309734513274336,0.09836065573770493,2,0.7857142857142857,0.6666666666666666,15.0,174.1999999999999,218.0,0.017699115044247787,0.05309734513274336,2,0.15384615384615385,1,0.07692307692307693
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.041,Intermediate,82,0.46875,0.18292682926829268,0.2631578947368421,2,0.6964285714285714,0.46875,28.0,135.59999999999994,218.0,0.04878048780487805,0.18292682926829268,1,0.058823529411764705,1,0.058823529411764705
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.051,Intermediate,102,0.5263157894736842,0.39215686274509803,0.449438202247191,2,0.593607305936073,0.5263157894736842,38.0,116.35,118.0,0.0,0.39215686274509803,2,0.16666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.093,Intermediate,186,0.47570332480818417,1.0,0.6447140381282496,1,0.47570332480818417,0.47570332480818417,391.0,391.0,391.0,0.0,1.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.004,Rare,8,0.8888888888888888,1.0,0.9411764705882353,2,0.9,0.8888888888888888,4.5,4.95,5.0,0.5,1.0,2,1.0,2,1.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.0435,Intermediate,87,0.4772727272727273,0.4827586206896552,0.48,3,0.45625942684766213,0.4772727272727273,21.0,143.0,218.0,0.0,0.4827586206896552,1,0.09090909090909091,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.025,Intermediate,50,0.0,0.0,0.0,0,,,106.5,187.04999999999998,196.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.0165,Intermediate,33,0.42857142857142855,0.18181818181818182,0.2553191489361702,1,0.42857142857142855,0.42857142857142855,65.0,196.09999999999994,218.0,0.0,0.18181818181818182,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0135,Intermediate,27,0.0,0.0,0.0,0,,,201.5,372.04999999999995,391.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.055,Intermediate,110,0.5561224489795918,0.990909090909091,0.7124183006535949,1,0.5561224489795918,0.5561224489795918,106.5,187.04999999999998,196.0,0.0,0.990909090909091,1,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.023,Intermediate,46,0.0,0.0,0.0,0,,,215.0,373.4,391.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.044,Intermediate,88,0.5,0.06818181818181818,0.12000000000000001,1,0.5,0.5,17.0,353.59999999999997,391.0,0.0,0.06818181818181818,0,0.0,0,0.0
