metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,57,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,58,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,36,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,22,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,51,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,212,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,595,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,264,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,129,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,29,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,44,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,27,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,86,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,154,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,55,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,23,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
