dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0065,Rare,13,0.3333333333333333,0.15384615384615385,0.21052631578947367,1,0.3333333333333333,0.3333333333333333,57.0,200.39999999999998,212.0,0.0,0.15384615384615385,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.089,Intermediate,178,0.3956386292834891,0.7134831460674157,0.5090180360721442,5,0.3981281357296311,0.3956386292834891,31.5,180.09999999999997,212.0,0.0,0.7134831460674157,1,0.08333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.069,Intermediate,138,0.3961038961038961,0.4420289855072464,0.4178082191780822,1,0.3961038961038961,0.3961038961038961,23.5,191.69999999999996,212.0,0.0,0.4420289855072464,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.017,Intermediate,34,0.0,0.0,0.0,0,,,54.0,197.5,212.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0145,Intermediate,29,0.0,0.0,0.0,0,,,6.5,460.75,595.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2265,Common,453,0.7136075949367089,0.9955849889624724,0.8313364055299539,9,0.7599751011515719,0.7136075949367089,6.0,330.39999999999935,595.0,0.026490066225165563,0.9955849889624724,7,0.7,5,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.0575,Intermediate,115,0.4375,0.12173913043478261,0.1904761904761905,3,0.7777777777777777,0.4375,31.5,299.64999999999964,595.0,0.043478260869565216,0.12173913043478261,2,0.16666666666666666,2,0.16666666666666666
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.039,Intermediate,78,0.42857142857142855,0.15384615384615385,0.22641509433962267,3,0.42270531400966177,0.42857142857142855,31.5,307.75,595.0,0.0,0.15384615384615385,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.045,Intermediate,90,0.6052631578947368,0.25555555555555554,0.359375,3,0.6055555555555555,0.6052631578947368,25.0,180.09999999999997,212.0,0.0,0.25555555555555554,2,0.16666666666666666,1,0.08333333333333333
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.0905,Intermediate,181,0.5734265734265734,0.9060773480662984,0.702355460385439,2,0.5189393939393939,0.5734265734265734,75.5,243.74999999999994,264.0,0.0,0.9060773480662984,1,0.25,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.0045,Rare,9,0.75,0.3333333333333333,0.46153846153846156,1,0.75,0.75,27.5,48.65,51.0,0.0,0.3333333333333333,1,0.5,1,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.051,Intermediate,102,0.38823529411764707,0.6470588235294118,0.4852941176470588,3,0.39158188051110016,0.38823529411764707,27.0,272.7999999999993,595.0,0.0,0.6470588235294118,1,0.07692307692307693,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.023,Intermediate,46,0.4772727272727273,0.45652173913043476,0.4666666666666666,1,0.4772727272727273,0.4772727272727273,44.0,81.8,86.0,0.0,0.45652173913043476,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.0145,Intermediate,29,0.0,0.0,0.0,0,,,35.0,407.0499999999997,595.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.013,Intermediate,26,0.0,0.0,0.0,0,,,75.5,243.74999999999994,264.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.048,Intermediate,96,0.7652173913043478,0.9166666666666666,0.8341232227488152,2,0.7058941459502807,0.7652173913043478,44.0,81.8,86.0,0.0,0.9166666666666666,2,0.6666666666666666,1,0.3333333333333333
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.031,Intermediate,62,0.0,0.0,0.0,0,,,129.0,250.5,264.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.0575,Intermediate,115,0.7185185185185186,0.8434782608695652,0.776,2,0.6143410852713178,0.7185185185185186,29.0,216.74999999999994,264.0,0.0,0.8434782608695652,1,0.125,1,0.125
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.004,Rare,8,0.0,0.0,0.0,0,,,212.0,258.8,264.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,24.5,509.7999999999998,595.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.014,Intermediate,28,0.0,0.0,0.0,0,,,75.5,243.74999999999994,264.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.0055,Rare,11,0.3888888888888889,0.6363636363636364,0.4827586206896552,1,0.3888888888888889,0.3888888888888889,20.0,21.8,22.0,0.0,0.6363636363636364,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proliferating T and NK cell,0.005,Rare,10,0.0,0.0,0.0,0,,,33.5,512.3499999999998,595.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Regulatory T cells,0.006,Rare,12,0.0,0.0,0.0,0,,,95.0,203.29999999999998,212.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T-NK-B cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,65.0,122.54999999999998,129.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,conventional DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,196.5,257.25,264.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,gdT cells,0.0545,Intermediate,109,0.5882352941176471,0.09174311926605505,0.15873015873015872,3,0.7222222222222222,0.5882352941176471,23.0,286.2999999999995,595.0,0.009174311926605505,0.09174311926605505,2,0.13333333333333333,1,0.06666666666666667
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,plasmacytoid DC,0.0045,Rare,9,0.0,0.0,0.0,0,,,129.0,250.5,264.0,0.0,0.0,0,0.0,0,0.0
