metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,214,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,22,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,22,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,41,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,38,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,30,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,16,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,122,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,306,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,44,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,201,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,366,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,115,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,34,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,40,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,225,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
