dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.008,Rare,16,0.0,0.0,0.0,0,,,127.5,330.75,366.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.096,Intermediate,192,0.36231884057971014,0.9114583333333334,0.5185185185185185,5,0.4442907580477674,0.36231884057971014,22.0,219.5,225.0,0.0,0.9114583333333334,2,0.18181818181818182,1,0.09090909090909091
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.069,Intermediate,138,0.4318181818181818,0.2753623188405797,0.336283185840708,6,0.5562982768865122,0.4318181818181818,20.0,218.39999999999998,225.0,0.036231884057971016,0.2753623188405797,2,0.15384615384615385,1,0.07692307692307693
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.021,Intermediate,42,0.0,0.0,0.0,0,,,22.0,220.6,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.015,Intermediate,30,0.0,0.0,0.0,0,,,77.5,305.0,366.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2135,Common,427,0.6311111111111111,0.9976580796252927,0.7731397459165155,9,0.7741202713761516,0.6311111111111111,11.5,256.1999999999997,366.0,0.0351288056206089,0.9976580796252927,7,0.7,6,0.6
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.059,Intermediate,118,0.5909090909090909,0.11016949152542373,0.18571428571428572,3,0.6464646464646465,0.5909090909090909,26.5,297.59999999999985,366.0,0.06779661016949153,0.11016949152542373,2,0.2,1,0.1
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.038,Intermediate,76,0.4,0.3157894736842105,0.35294117647058826,4,0.42970383275261326,0.4,22.0,281.3999999999998,366.0,0.0,0.3157894736842105,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.0415,Intermediate,83,0.6521739130434783,0.18072289156626506,0.2830188679245283,2,0.8,0.6521739130434783,22.0,219.5,225.0,0.03614457831325301,0.18072289156626506,2,0.18181818181818182,1,0.09090909090909091
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.1015,Common,203,0.5485714285714286,0.9458128078817734,0.6943942133815552,2,0.5666963755199049,0.5485714285714286,44.0,279.79999999999995,306.0,0.0,0.9458128078817734,2,0.6666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.0035,Rare,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,0.42857142857142855,0.42857142857142855,104.0,191.29999999999998,201.0,0.0,0.42857142857142855,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.0415,Intermediate,83,0.3125,0.060240963855421686,0.10101010101010101,1,0.3125,0.3125,23.0,282.39999999999986,366.0,0.0,0.060240963855421686,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.026,Intermediate,52,0.0,0.0,0.0,0,,,104.0,191.29999999999998,201.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.02,Intermediate,40,0.3333333333333333,0.075,0.12244897959183673,1,0.3333333333333333,0.3333333333333333,41.0,305.19999999999993,366.0,0.0,0.075,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0115,Intermediate,23,0.0,0.0,0.0,0,,,41.0,266.69999999999993,306.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.046,Intermediate,92,0.44554455445544555,0.9782608695652174,0.6122448979591837,2,0.7213930348258706,0.44554455445544555,7.0,181.6,201.0,0.010869565217391304,0.9782608695652174,1,0.3333333333333333,1,0.3333333333333333
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.026,Intermediate,52,0.0,0.0,0.0,0,,,44.0,279.79999999999995,306.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.046,Intermediate,92,0.5636363636363636,0.33695652173913043,0.42176870748299317,2,0.651702786377709,0.5636363636363636,41.0,279.75,306.0,0.0,0.33695652173913043,1,0.16666666666666666,1,0.16666666666666666
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.004,Rare,8,0.0,0.0,0.0,0,,,253.5,300.75,306.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.0035,Rare,7,0.0,0.0,0.0,0,,,127.5,344.84999999999997,366.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.0145,Intermediate,29,0.0,0.0,0.0,0,,,253.5,300.75,306.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.003,Rare,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,0.8333333333333334,0.8333333333333334,156.0,291.0,306.0,0.0,0.8333333333333334,1,0.5,1,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proliferating T and NK cell,0.004,Rare,8,0.0,0.0,0.0,0,,,168.0,343.19999999999993,366.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Regulatory T cells,0.011,Intermediate,22,0.0,0.0,0.0,0,,,14.5,222.25,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T-NK-B cell doublets,0.0195,Intermediate,39,0.75,0.07692307692307693,0.13953488372093026,1,0.75,0.75,115.0,285.0,306.0,0.0,0.07692307692307693,1,0.2,1,0.2
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,conventional DC,0.002,Rare,4,0.0,0.0,0.0,0,,,172.0,292.59999999999997,306.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,gdT cells,0.0455,Intermediate,91,0.0,0.0,0.0,0,,,78.0,312.7999999999999,366.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,plasmacytoid DC,0.01,Intermediate,20,0.0,0.0,0.0,0,,,201.0,201.0,201.0,0.0,0.0,0,0.0,0,0.0
