metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,36,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,87,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
4,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,34,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,172,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,283,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,130,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,16,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,31,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,39,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,416,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,70,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,475,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
