dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0055,Rare,11,0.0,0.0,0.0,0,,,48.5,225.25,261.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0815,Intermediate,163,0.4492753623188406,0.5705521472392638,0.5027027027027027,7,0.4591362126245847,0.4492753623188406,39.0,175.1999999999998,261.0,0.0,0.5705521472392638,2,0.15384615384615385,1,0.07692307692307693
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.072,Intermediate,144,0.36807817589576547,0.7847222222222222,0.5011086474501109,3,0.4968913589603245,0.36807817589576547,39.0,190.99999999999994,261.0,0.0,0.7847222222222222,2,0.2222222222222222,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.017,Intermediate,34,0.0,0.0,0.0,0,,,31.5,199.74999999999991,261.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.015,Intermediate,30,0.5714285714285714,0.13333333333333333,0.21621621621621623,1,0.5714285714285714,0.5714285714285714,101.0,242.5,284.0,0.0,0.13333333333333333,1,0.16666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2455,Common,491,0.8344947735191638,0.9755600814663951,0.8995305164319249,9,0.7256447389972082,0.8344947735191638,12.0,176.09999999999994,284.0,0.016293279022403257,0.9755600814663951,7,0.5,5,0.35714285714285715
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.0515,Intermediate,103,0.5692307692307692,0.3592233009708738,0.44047619047619047,3,0.6641975308641975,0.5692307692307692,42.0,184.39999999999975,284.0,0.009708737864077669,0.3592233009708738,2,0.15384615384615385,1,0.07692307692307693
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.047,Intermediate,94,0.34074074074074073,0.48936170212765956,0.4017467248908297,2,0.49700897308075775,0.34074074074074073,42.0,267.9,284.0,0.0,0.48936170212765956,1,0.06666666666666667,1,0.06666666666666667
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.047,Intermediate,94,1.0,0.010638297872340425,0.021052631578947368,1,1.0,1.0,39.0,190.99999999999994,261.0,0.010638297872340425,0.010638297872340425,1,0.1111111111111111,1,0.1111111111111111
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.103,Common,206,0.6105610561056105,0.8980582524271845,0.7269155206286837,2,0.6163026671820642,0.6105610561056105,104.0,184.2,199.0,0.0,0.8980582524271845,2,0.4,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.0025,Rare,5,0.0,0.0,0.0,0,,,66.5,100.25,104.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.046,Intermediate,92,0.8095238095238095,0.5543478260869565,0.6580645161290323,3,0.7593370681605975,0.8095238095238095,17.0,201.0,284.0,0.0,0.5543478260869565,3,0.2727272727272727,2,0.18181818181818182
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.02,Intermediate,40,0.4772727272727273,0.525,0.5,2,0.48931623931623935,0.4772727272727273,51.5,115.25,125.0,0.0,0.525,1,0.16666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.019,Intermediate,38,0.3333333333333333,0.05263157894736842,0.09090909090909091,1,0.3333333333333333,0.3333333333333333,54.0,113.19999999999999,118.0,0.0,0.05263157894736842,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0145,Intermediate,29,0.35714285714285715,0.3448275862068966,0.3508771929824561,1,0.35714285714285715,0.35714285714285715,114.5,187.89999999999998,199.0,0.0,0.3448275862068966,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.048,Intermediate,96,0.8888888888888888,0.6666666666666666,0.761904761904762,1,0.8888888888888888,0.8888888888888888,30.0,82.5,86.0,0.0,0.6666666666666666,1,0.16666666666666666,1,0.16666666666666666
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.03,Intermediate,60,0.0,0.0,0.0,0,,,114.5,187.89999999999998,199.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.0515,Intermediate,103,0.6875,0.8543689320388349,0.7619047619047619,2,0.6773333333333333,0.6875,104.0,184.2,199.0,0.0,0.8543689320388349,2,0.4,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.003,Rare,6,0.0,0.0,0.0,0,,,24.5,77.74999999999999,86.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.0045,Rare,9,0.0,0.0,0.0,0,,,41.0,234.5,284.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.017,Intermediate,34,0.0,0.0,0.0,0,,,114.5,187.89999999999998,199.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.004,Rare,8,0.0,0.0,0.0,0,,,28.0,28.0,28.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proliferating T and NK cell,0.005,Rare,10,0.0,0.0,0.0,0,,,106.0,278.25,284.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Regulatory T cells,0.009,Rare,18,0.0,0.0,0.0,0,,,64.5,234.74999999999994,261.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T-NK-B cell doublets,0.022,Intermediate,44,0.45161290322580644,0.3181818181818182,0.3733333333333333,1,0.45161290322580644,0.45161290322580644,51.5,117.64999999999999,125.0,0.0,0.3181818181818182,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,conventional DC,0.0035,Rare,7,0.0,0.0,0.0,0,,,125.0,191.6,199.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,gdT cells,0.01,Intermediate,20,0.0,0.0,0.0,0,,,54.0,113.19999999999999,118.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,plasmacytoid DC,0.0055,Rare,11,0.3448275862068966,0.9090909090909091,0.5000000000000001,1,0.3448275862068966,0.3448275862068966,77.0,120.19999999999999,125.0,0.0,0.9090909090909091,0,0.0,0,0.0
