metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,104,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,29,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,24,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,128,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,57,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,103,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,159,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,217,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,168,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,93,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
20,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,32,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,34,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,129,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,23,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,166,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,282,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,16,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,72,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
