dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.007,Rare,14,0.0,0.0,0.0,0,,,119.0,258.44999999999993,282.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.093,Intermediate,186,0.49166666666666664,0.6344086021505376,0.5539906103286385,4,0.7472920353982301,0.49166666666666664,18.0,219.19999999999993,282.0,0.010752688172043012,0.6344086021505376,3,0.3333333333333333,2,0.2222222222222222
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0795,Intermediate,159,0.39933993399339934,0.7610062893081762,0.5238095238095238,3,0.5015760441292355,0.39933993399339934,65.5,242.75,282.0,0.0,0.7610062893081762,1,0.16666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,71.5,258.44999999999993,282.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.015,Intermediate,30,0.3333333333333333,0.03333333333333333,0.0606060606060606,1,0.3333333333333333,0.3333333333333333,78.0,248.19999999999996,265.0,0.0,0.03333333333333333,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2045,Common,409,0.7075306479859895,0.9877750611246944,0.8244897959183675,5,0.6995631048858457,0.7075306479859895,67.0,242.59999999999997,265.0,0.0,0.9877750611246944,5,0.5555555555555556,2,0.2222222222222222
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.054,Intermediate,108,0.6,0.027777777777777776,0.05309734513274336,1,0.6,0.6,17.5,234.19999999999996,265.0,0.0,0.027777777777777776,1,0.08333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.042,Intermediate,84,0.34615384615384615,0.5357142857142857,0.4205607476635514,4,0.4487564827911363,0.34615384615384615,72.5,270.95,282.0,0.0,0.5357142857142857,1,0.07142857142857142,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.047,Intermediate,94,0.0,0.0,0.0,0,,,119.0,258.44999999999993,282.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.104,Common,208,0.5706371191135734,0.9903846153846154,0.7240773286467487,3,0.5488745180947644,0.5706371191135734,13.0,184.0,187.0,0.0,0.9903846153846154,2,0.4,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.005,Rare,10,0.0,0.0,0.0,0,,,59.0,259.7,282.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.049,Intermediate,98,0.7763157894736842,0.6020408163265306,0.6781609195402298,2,0.7288557213930348,0.7763157894736842,101.0,252.79999999999998,282.0,0.0,0.6020408163265306,2,0.2222222222222222,1,0.1111111111111111
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.02,Intermediate,40,0.0,0.0,0.0,0,,,64.5,250.19999999999993,282.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.018,Intermediate,36,0.5,0.08333333333333333,0.14285714285714285,1,0.5,0.5,101.0,276.9,282.0,0.0,0.08333333333333333,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0115,Intermediate,23,0.6153846153846154,0.34782608695652173,0.4444444444444444,1,0.6153846153846154,0.6153846153846154,107.5,184.75,187.0,0.0,0.34782608695652173,1,0.25,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.0475,Intermediate,95,0.536723163841808,1.0,0.698529411764706,3,0.5406813290287866,0.536723163841808,59.0,68.9,70.0,0.0,1.0,2,0.6666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.0285,Intermediate,57,0.0,0.0,0.0,0,,,92.5,184.75,187.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.038,Intermediate,76,0.8723404255319149,0.5394736842105263,0.6666666666666667,2,0.7034883720930232,0.8723404255319149,70.0,184.0,187.0,0.0,0.5394736842105263,1,0.2,1,0.2
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.0055,Rare,11,0.5,0.45454545454545453,0.47619047619047616,1,0.5,0.5,26.5,246.14999999999992,282.0,0.0,0.45454545454545453,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.0005,Rare,1,0.0,0.0,0.0,0,,,13.0,13.0,13.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,179.5,186.25,187.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.0035,Rare,7,0.0,0.0,0.0,0,,,13.0,169.6,187.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proliferating T and NK cell,0.005,Rare,10,0.0,0.0,0.0,0,,,209.0,259.4,265.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Regulatory T cells,0.006,Rare,12,0.0,0.0,0.0,0,,,65.5,256.6499999999999,282.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T-NK-B cell doublets,0.026,Intermediate,52,0.6666666666666666,0.07692307692307693,0.13793103448275862,2,0.8,0.6666666666666666,48.0,224.99999999999986,282.0,0.019230769230769232,0.07692307692307693,2,0.15384615384615385,1,0.07692307692307693
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,107.5,184.75,187.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,gdT cells,0.0455,Intermediate,91,0.7209302325581395,0.34065934065934067,0.46268656716417905,3,0.7382575757575758,0.7209302325581395,22.0,237.0,265.0,0.0,0.34065934065934067,3,0.2727272727272727,2,0.18181818181818182
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,plasmacytoid DC,0.005,Rare,10,0.6666666666666666,0.6,0.631578947368421,1,0.6666666666666666,0.6666666666666666,41.5,169.44999999999996,187.0,0.0,0.6,1,0.25,0,0.0
