dataset,method,seed,subset_seed,target_cell_type,source_abundance,target_abundance,realized_abundance,support,requested_K,realized_K,cell_precision,cell_recall,cell_f1,purity_unweighted,purity_weighted,majority_retention,high_purity_recovery,run_id
D11,GARQ,0,624272,B1 B,0.03300931551235318,0.002,0.002,4,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_B1-B_abundance_0.002_broad_seed0_v1-5db3ef328eed
D11,GARQ,0,597912,B1 B,0.03300931551235318,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_B1-B_abundance_0.005_broad_seed0_v1-898a46ae6291
D11,GARQ,0,385264,B1 B,0.03300931551235318,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_B1-B_abundance_0.01_broad_seed0_v1-14fd93c89f2c
D11,GARQ,0,622122,CD14+ Mono,0.04637505062778453,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.002_broad_seed0_v1-8337753bddea
D11,GARQ,0,929191,CD14+ Mono,0.04637505062778453,0.005,0.005,10,40,39,0.3333333333333333,0.1,0.1538461538461538,0.3333333333333333,0.3333333333333333,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.005_broad_seed0_v1-ce6f1a6348e5
D11,GARQ,0,322430,CD14+ Mono,0.04637505062778453,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.01_broad_seed0_v1-0b6787d146d1
D11,GARQ,0,837047,CD16+ Mono,0.010024301336573511,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD16+-Mono_abundance_0.002_broad_seed0_v1-181c4ef5e7b2
D11,GARQ,0,687090,CD16+ Mono,0.010024301336573511,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD16+-Mono_abundance_0.005_broad_seed0_v1-8b7b85eedec2
D11,GARQ,0,262165,CD16+ Mono,0.010024301336573511,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD16+-Mono_abundance_0.01_broad_seed0_v1-2e0d123916fe
D11,GARQ,0,747817,CD4+ T naive,0.03027541514783313,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD4+-T-naive_abundance_0.002_broad_seed0_v1-182d29863792
D11,GARQ,0,853059,CD4+ T naive,0.03027541514783313,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD4+-T-naive_abundance_0.005_broad_seed0_v1-63f82efa6666
D11,GARQ,0,354691,CD4+ T naive,0.03027541514783313,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD4+-T-naive_abundance_0.01_broad_seed0_v1-40c4cfd9b863
D11,GARQ,0,425875,Erythroblast,0.026933981368975294,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_Erythroblast_abundance_0.002_broad_seed0_v1-25644d36898a
D11,GARQ,0,37942,Erythroblast,0.026933981368975294,0.005,0.005,10,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_Erythroblast_abundance_0.005_broad_seed0_v1-edd9b8ee7163
D11,GARQ,0,120449,Erythroblast,0.026933981368975294,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_Erythroblast_abundance_0.01_broad_seed0_v1-e0041b4df360
D11,GARQ,0,54437,G/M prog,0.006682867557715674,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_G-M-prog_abundance_0.002_broad_seed0_v1-b69d3ab76749
D11,GARQ,0,321976,G/M prog,0.006682867557715674,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_G-M-prog_abundance_0.005_broad_seed0_v1-99bc38c4f76e
D11,GARQ,0,788523,HSC,0.010935601458080195,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_HSC_abundance_0.002_broad_seed0_v1-44ad03b5dedb
