metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,35,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
1,249,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
2,11,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
3,63,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
4,225,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
5,24,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
6,48,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
7,29,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
8,8,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
9,166,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
10,132,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
11,61,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
12,20,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
13,11,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
14,173,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
15,100,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
16,603,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
17,26,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
18,7,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
19,9,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000
