dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,instrumented_legacy,0.02,B.Activated,0.0325,Intermediate,65,0.0,0.0,0.0,0,,,32.0,199.2,229.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,B.Naive,0.1545,Common,309,0.8284182305630027,1.0,0.9061583577712611,5,0.8882623098930884,0.8284182305630027,32.0,199.2,229.0,0.009708737864077669,1.0,5,1.0,5,1.0
D18,GARQ,0,instrumented_legacy,0.02,DC.Myeloid,0.001,Rare,2,0.0,0.0,0.0,0,,,127.0,136.9,138.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD14,0.1345,Common,269,0.9598540145985401,0.9776951672862454,0.9686924493554327,4,0.9058501052504051,0.9598540145985401,67.5,252.75,291.0,0.0,0.9776951672862454,4,0.6666666666666666,4,0.6666666666666666
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD16,0.004,Rare,8,0.0,0.0,0.0,0,,,67.5,134.7,138.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,NK,0.0525,Intermediate,105,0.8666666666666667,0.6190476190476191,0.7222222222222222,4,0.9038211788211788,0.8666666666666667,27.5,200.24999999999983,270.0,0.047619047619047616,0.6190476190476191,4,0.4,4,0.4
D18,GARQ,0,instrumented_legacy,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,152.5,287.84999999999997,291.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Memory,0.2205,Common,441,0.5333333333333333,0.54421768707483,0.5387205387205387,12,0.6076387516559442,0.5333333333333333,19.0,236.39999999999992,291.0,0.0,0.54421768707483,8,0.2962962962962963,3,0.1111111111111111
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Naive,0.221,Common,442,0.5922038980509745,0.8936651583710408,0.7123534715960326,12,0.6498842386181659,0.5922038980509745,17.5,264.3999999999999,291.0,0.011312217194570135,0.8936651583710408,8,0.36363636363636365,3,0.13636363636363635
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Effector,0.12,Common,240,0.5403726708074534,0.3625,0.43391521197007477,3,0.6691327995675822,0.5403726708074534,22.0,272.09999999999997,291.0,0.0,0.3625,2,0.10526315789473684,1,0.05263157894736842
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Naive,0.0565,Intermediate,113,0.0,0.0,0.0,0,,,29.5,275.25,291.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.DoubleNegative,0.001,Rare,2,0.0,0.0,0.0,0,,,15.5,16.85,17.0,0.0,0.0,0,0.0,0,0.0
