dataset,data_type,metacell_id,size,compactness_cosine_mean,compactness_percentile,modality_conflict_anchor
D11,RNA,0,86,0.2147548645734787,0.325,False
D11,RNA,1,39,0.22993752360343933,0.375,False
D11,RNA,2,5,0.1944085955619812,0.275,False
D11,RNA,3,243,0.2829858660697937,0.575,False
D11,RNA,4,38,0.3133213520050049,0.675,False
D11,RNA,5,114,0.39018410444259644,0.875,False
D11,RNA,6,6,0.3079167902469635,0.65,False
D11,RNA,7,18,0.4102015197277069,0.9,False
D11,RNA,8,4,0.3574197590351105,0.85,False
D11,RNA,9,3,0.14710120856761932,0.15,True
D11,RNA,10,75,0.4183835983276367,0.95,False
D11,RNA,11,9,0.14434754848480225,0.125,True
D11,RNA,12,26,0.27421897649765015,0.55,False
D11,RNA,13,6,0.35045716166496277,0.8,False
D11,RNA,14,5,0.3542519211769104,0.825,False
D11,RNA,15,188,0.3040502071380615,0.625,False
D11,RNA,16,2,0.17199838161468506,0.2,False
D11,RNA,17,3,0.19352102279663086,0.25,False
D11,RNA,18,6,0.18746499717235565,0.225,False
D11,RNA,19,114,0.3262740969657898,0.75,False
D11,RNA,20,95,0.13589057326316833,0.075,False
D11,RNA,21,1,0.0,0.025,False
D11,RNA,22,4,0.25899726152420044,0.5,False
D11,RNA,23,3,0.03414815664291382,0.05,False
D11,RNA,24,70,0.20265282690525055,0.3,False
D11,RNA,25,5,0.2531748116016388,0.45,False
D11,RNA,26,7,0.45677900314331055,1.0,False
D11,RNA,27,5,0.26730361580848694,0.525,False
D11,RNA,28,91,0.3304992914199829,0.775,False
D11,RNA,29,70,0.25603798031806946,0.475,False
D11,RNA,30,7,0.1600784957408905,0.175,False
D11,RNA,31,233,0.41891786456108093,0.975,False
D11,RNA,32,6,0.31738021969795227,0.7,False
D11,RNA,33,6,0.22721858322620392,0.35,False
D11,RNA,34,3,0.24723534286022186,0.425,False
D11,RNA,35,2,0.24678859114646912,0.4,False
D11,RNA,36,2,0.14159488677978516,0.1,False
D11,RNA,37,380,0.41200414299964905,0.925,True
D11,RNA,38,14,0.3211037516593933,0.725,False
D11,RNA,39,6,0.29258373379707336,0.6,False
D11,ATAC,0,86,0.09924358874559402,0.325,False
D11,ATAC,1,39,0.13204999268054962,0.45,False
D11,ATAC,2,5,0.21851810812950134,0.8,False
D11,ATAC,3,243,0.2100333422422409,0.75,False
D11,ATAC,4,38,0.22200635075569153,0.825,False
D11,ATAC,5,114,0.26519259810447693,0.95,False
D11,ATAC,6,6,0.16372688114643097,0.6,False
D11,ATAC,7,18,0.19778437912464142,0.725,False
D11,ATAC,8,4,0.1562151163816452,0.575,False
D11,ATAC,9,3,0.3062775433063507,1.0,True
D11,ATAC,10,75,0.1255018264055252,0.425,False
D11,ATAC,11,9,0.23393453657627106,0.875,True
D11,ATAC,12,26,0.2442757934331894,0.925,False
D11,ATAC,13,6,0.17321312427520752,0.625,False
D11,ATAC,14,5,0.179978609085083,0.675,False
D11,ATAC,15,188,0.21609121561050415,0.775,False
D11,ATAC,16,2,0.14180856943130493,0.5,False
D11,ATAC,17,3,0.0909697636961937,0.225,False
D11,ATAC,18,6,0.04891592264175415,0.1,False
D11,ATAC,19,114,0.09466107934713364,0.275,False
D11,ATAC,20,95,0.09937559068202972,0.35,False
D11,ATAC,21,1,0.0,0.025,False
D11,ATAC,22,4,0.04555438458919525,0.075,False
D11,ATAC,23,3,0.06586062908172607,0.15,False
D11,ATAC,24,70,0.04158124327659607,0.05,False
D11,ATAC,25,5,0.09252701699733734,0.25,False
D11,ATAC,26,7,0.17758409678936005,0.65,False
D11,ATAC,27,5,0.09590639919042587,0.3,False
D11,ATAC,28,91,0.1191219910979271,0.4,False
D11,ATAC,29,70,0.14539556205272675,0.55,False
D11,ATAC,30,7,0.1825893223285675,0.7,False
D11,ATAC,31,233,0.10067155212163925,0.375,False
D11,ATAC,32,6,0.2818058729171753,0.975,False
D11,ATAC,33,6,0.14463070034980774,0.525,False
D11,ATAC,34,3,0.22252552211284637,0.85,False
D11,ATAC,35,2,0.08381935954093933,0.175,False
D11,ATAC,36,2,0.13376352190971375,0.475,False
D11,ATAC,37,380,0.0851626917719841,0.2,True
D11,ATAC,38,14,0.2429807484149933,0.9,False
D11,ATAC,39,6,0.06287012249231339,0.125,False
D17,RNA,0,16,0.2903492748737335,0.725,False
D17,RNA,1,29,0.2680196464061737,0.525,False
D17,RNA,2,3,0.23127703368663788,0.375,False
D17,RNA,3,8,0.3211776316165924,0.8,False
D17,RNA,4,2,0.37652724981307983,0.9,True
D17,RNA,5,10,0.2666994333267212,0.475,False
D17,RNA,6,6,0.3943352699279785,0.925,True
D17,RNA,7,2,0.015499740839004517,0.025,False
