dataset,method,seed,implementation_tag,resolution,n_cells,requested_K,realized_K,empty_anchor_count,empty_rate,compression_ratio,size_min,size_q1,size_median,size_mean,size_q3,size_p90,size_p95,size_p99,size_max,size_sd,size_cv,size_gini,singleton_rate,size_le_2_rate,size_gt_2x_median_rate,size_gt_5x_median_rate,tukey_outlier_count,max_median_ratio,modality_combination,source_file
D11,GARQ,0,instrumented_legacy,0.02,2000,40,40,0,0.0,50.0,2.0,5.0,12.0,50.0,23.0,108.4000000000002,274.69999999999993,477.1899999999998,586.0,112.45625930294078,2.249125186058816,0.756525,0.0,0.05,0.2,0.15,7,48.833333333333336,ATAC,revision_results/02_modality/smoke/D11/ATAC_seed0/metacell_size_summary.csv
D11,GARQ,0,instrumented_legacy,0.02,2000,40,40,0,0.0,50.0,1.0,4.75,6.5,50.0,71.25,121.4000000000001,233.5,326.56999999999994,380.0,82.26567343455608,1.6453134686911215,0.70405,0.025,0.1,0.425,0.35,4,58.46153846153846,RNA+ATAC,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/metacell_size_summary.csv
D11,GARQ,0,instrumented_legacy,0.02,2000,40,40,0,0.0,50.0,1.0,7.75,20.5,50.0,77.5,117.90000000000003,143.99999999999977,265.14,294.0,64.03644795479109,1.2807289590958215,0.60415,0.05,0.075,0.35,0.175,2,14.341463414634148,RNA,revision_results/02_modality/smoke/D11/RNA_seed0/metacell_size_summary.csv
D17,GARQ,0,instrumented_legacy,0.02,2000,40,39,1,0.025,51.282051282051285,2.0,7.5,15.0,51.282051282051285,22.5,107.80000000000004,348.60000000000014,497.9199999999997,542.0,117.1876472558679,2.285159121489424,0.739051282051282,0.0,0.0512820512820512,0.1538461538461538,0.1282051282051282,5,36.13333333333333,ATAC,revision_results/02_modality/smoke/D17/ATAC_seed0/metacell_size_summary.csv
D17,GARQ,0,instrumented_legacy,0.02,2000,40,40,0,0.0,50.0,2.0,7.75,16.0,50.0,39.75,141.00000000000006,211.79999999999984,331.48999999999995,374.0,80.80714616786607,1.6161429233573212,0.6723,0.0,0.05,0.35,0.2,8,23.375,RNA+ATAC,revision_results/02_modality/smoke/D17/RNA_ATAC_seed0/metacell_size_summary.csv
D17,GARQ,0,instrumented_legacy,0.02,2000,40,40,0,0.0,50.0,1.0,11.25,32.0,50.0,47.0,113.3,164.1499999999998,335.01999999999987,406.0,74.0,1.48,0.582975,0.025,0.025,0.175,0.075,6,12.6875,RNA,revision_results/02_modality/smoke/D17/RNA_seed0/metacell_size_summary.csv
D18,GARQ,0,instrumented_legacy,0.02,2000,40,39,1,0.025,51.282051282051285,1.0,4.0,9.0,51.282051282051285,52.5,140.20000000000002,196.70000000000036,439.7599999999999,458.0,100.50476519678288,1.959842921337266,0.7368717948717949,0.0512820512820512,0.1282051282051282,0.3846153846153846,0.282051282051282,5,50.888888888888886,ADT,revision_results/02_modality/smoke/D18/ADT_seed0/metacell_size_summary.csv
D18,GARQ,0,instrumented_legacy,0.02,2000,40,40,0,0.0,50.0,1.0,4.75,19.0,50.0,76.25,146.3,186.7499999999999,283.43999999999994,324.0,70.87692474662302,1.4175384949324603,0.64465,0.025,0.025,0.325,0.175,3,17.05263157894737,ATAC+ADT,revision_results/02_modality/smoke/D18/ATAC_ADT_seed0/metacell_size_summary.csv
D18,GARQ,0,instrumented_legacy,0.02,2000,40,39,1,0.025,51.282051282051285,3.0,6.5,14.0,51.282051282051285,27.0,87.40000000000008,163.1000000000005,570.7799999999997,616.0,123.22037355421142,2.4027972843071224,0.7409743589743589,0.0,0.0,0.2307692307692307,0.1538461538461538,6,44.0,ATAC,revision_results/02_modality/smoke/D18/ATAC_seed0/metacell_size_summary.csv
D18,GARQ,0,instrumented_legacy,0.02,2000,40,40,0,0.0,50.0,2.0,6.75,17.5,50.0,52.25,148.3000000000001,213.49999999999983,308.5799999999999,339.0,76.92187178543148,1.5384374357086297,0.65325,0.0,0.025,0.325,0.15,5,19.37142857142857,RNA+ADT,revision_results/02_modality/smoke/D18/RNA_ADT_seed0/metacell_size_summary.csv
