dataset,seed,condition,weighted_modality,weight_lambda,evaluated_modality,requested_K,realized_K,ARI_vs_equal_weights,NMI_vs_equal_weights,VI_nats_vs_equal_weights,knn15_jaccard_mean_vs_equal_weights,relative_abs_dot_contribution
D11,0,ATAC_lambda_0,ATAC,0.0,RNA,40,39,0.16562854948648945,0.3930373294169087,3.440235757687593,1.0,1.0
D11,0,ATAC_lambda_0,ATAC,0.0,ATAC,40,39,0.16562854948648945,0.3930373294169087,3.440235757687593,0.0027635467980295565,0.0
D11,0,ATAC_lambda_0.25,ATAC,0.25,RNA,40,40,0.21763499993923208,0.4255278385776373,3.1569456942075633,1.0,0.9029032118925
D11,0,ATAC_lambda_0.25,ATAC,0.25,ATAC,40,40,0.21763499993923208,0.4255278385776373,3.1569456942075633,1.0,0.0970967881074999
D11,0,ATAC_lambda_0.5,ATAC,0.5,RNA,40,38,0.19168817565821022,0.4293931196620401,3.1904243555947076,1.0,0.6992255474362076
D11,0,ATAC_lambda_0.5,ATAC,0.5,ATAC,40,38,0.19168817565821022,0.4293931196620401,3.1904243555947076,1.0,0.3007744525637923
D11,0,ATAC_lambda_2,ATAC,2.0,RNA,40,39,0.2377147926291987,0.4312842591628242,3.2219184837387767,1.0,0.1268639628394726
D11,0,ATAC_lambda_2,ATAC,2.0,ATAC,40,39,0.2377147926291987,0.4312842591628242,3.2219184837387767,1.0,0.8731360371605275
D11,0,RNA_lambda_0,RNA,0.0,RNA,40,39,0.17511167375246536,0.3886157693696502,3.4564738510733015,0.003557881773399015,0.0
D11,0,RNA_lambda_0,RNA,0.0,ATAC,40,39,0.17511167375246536,0.3886157693696502,3.4564738510733015,1.0,1.0
D11,0,RNA_lambda_0.25,RNA,0.25,RNA,40,39,0.20949307937209824,0.42911146935769495,3.026167568670896,1.0,0.0350510246238967
D11,0,RNA_lambda_0.25,RNA,0.25,ATAC,40,39,0.20949307937209824,0.42911146935769495,3.026167568670896,1.0,0.9649489753761032
D11,0,RNA_lambda_0.5,RNA,0.5,RNA,40,39,0.2542290694592373,0.43727039975314463,3.1605150524516685,1.0,0.1268639628394726
D11,0,RNA_lambda_0.5,RNA,0.5,ATAC,40,39,0.2542290694592373,0.43727039975314463,3.1605150524516685,1.0,0.8731360371605275
D11,0,RNA_lambda_2,RNA,2.0,RNA,40,39,0.18759413056074922,0.42709667780517435,3.1847762959440495,1.0,0.6992255474362076
D11,0,RNA_lambda_2,RNA,2.0,ATAC,40,39,0.18759413056074922,0.42709667780517435,3.1847762959440495,1.0,0.3007744525637923
D11,0,equal_weights,none,1.0,RNA,40,40,1.0,1.0,0.0,1.0,0.3675639814909144
D11,0,equal_weights,none,1.0,ATAC,40,40,1.0,1.0,0.0,1.0,0.6324360185090855
D5,0,ADT_lambda_0,ADT,0.0,RNA,40,34,0.39782200684173025,0.5733792325996455,2.192221896609307,1.0,1.0
D5,0,ADT_lambda_0,ADT,0.0,ADT,40,34,0.39782200684173025,0.5733792325996455,2.192221896609307,0.00494088669950739,0.0
D5,0,ADT_lambda_0.25,ADT,0.25,RNA,40,36,0.29373468539534414,0.5528694167340079,2.3352016124471997,1.0,0.94496985598474
D5,0,ADT_lambda_0.25,ADT,0.25,ADT,40,36,0.29373468539534414,0.5528694167340079,2.3352016124471997,1.0,0.0550301440152599
D5,0,ADT_lambda_0.5,ADT,0.5,RNA,40,37,0.38744893567900124,0.5715621695328204,2.2967482796412115,1.0,0.8110699650373658
D5,0,ADT_lambda_0.5,ADT,0.5,ADT,40,37,0.38744893567900124,0.5715621695328204,2.2967482796412115,1.0,0.1889300349626341
D5,0,ADT_lambda_2,ADT,2.0,RNA,40,40,0.3907493153675059,0.540285276114995,2.386026872001579,1.0,0.2115494083367016
D5,0,ADT_lambda_2,ADT,2.0,ADT,40,40,0.3907493153675059,0.540285276114995,2.386026872001579,1.0,0.7884505916632983
D5,0,RNA_lambda_0,RNA,0.0,RNA,40,39,0.2473102938664271,0.4648441046427011,2.8126821682525645,0.005198412698412699,0.0
D5,0,RNA_lambda_0,RNA,0.0,ADT,40,39,0.2473102938664271,0.4648441046427011,2.8126821682525645,1.0,1.0
D5,0,RNA_lambda_0.25,RNA,0.25,RNA,40,40,0.29489840118880817,0.501878292792293,2.7152973170912738,1.0,0.0628610090359237
D5,0,RNA_lambda_0.25,RNA,0.25,ADT,40,40,0.29489840118880817,0.501878292792293,2.7152973170912738,1.0,0.9371389909640764
D5,0,RNA_lambda_0.5,RNA,0.5,RNA,40,40,0.3969309589872063,0.541718018885819,2.3532315987726546,1.0,0.2115494083367016
D5,0,RNA_lambda_0.5,RNA,0.5,ADT,40,40,0.3969309589872063,0.541718018885819,2.3532315987726546,1.0,0.7884505916632983
D5,0,RNA_lambda_2,RNA,2.0,RNA,40,37,0.366545992703223,0.5661223537334392,2.3436465457205236,1.0,0.8110699650373658
D5,0,RNA_lambda_2,RNA,2.0,ADT,40,37,0.366545992703223,0.5661223537334392,2.3436465457205236,1.0,0.1889300349626341
D5,0,equal_weights,none,1.0,RNA,40,34,1.0,1.0,0.0,1.0,0.5176634461164118
D5,0,equal_weights,none,1.0,ADT,40,34,1.0,1.0,0.0,1.0,0.4823365538835882
