condition,weighted_modality,weight_lambda,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,B1 B,0.0355,Intermediate,71,0.0,0.0,0.0,0,,,37.0,333.5,370.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,CD14+ Mono,0.054,Intermediate,108,0.5585106382978723,0.9722222222222222,0.7094594594594594,1,0.5585106382978723,0.5585106382978723,53.5,172.84999999999997,188.0,0.0,0.9722222222222222,1,0.25,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,97.0,324.5,370.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4+ T activated,0.076,Intermediate,152,0.0,0.0,0.0,0,,,20.0,264.29999999999995,370.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,19.5,147.2999999999996,370.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8+ T,0.4025,Common,805,0.69702434625789,0.9602484472049688,0.8077324973876698,25,0.6060987969703053,0.69702434625789,20.0,231.59999999999985,370.0,0.0,0.9602484472049688,17,0.5151515151515151,8,0.2424242424242424
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,103.5,118.35,120.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,33.5,167.59999999999997,188.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,HSC,0.0075,Rare,15,0.3333333333333333,0.1333333333333333,0.1904761904761904,1,0.3333333333333333,0.3333333333333333,37.0,297.19999999999993,370.0,0.0,0.1333333333333333,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,Lymph prog,0.034,Intermediate,68,0.4,0.0588235294117647,0.1025641025641025,2,0.4375,0.4,20.0,220.69999999999987,297.0,0.0,0.0588235294117647,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,MK/E prog,0.0165,Intermediate,33,0.5333333333333333,0.2424242424242424,0.3333333333333333,1,0.5333333333333333,0.5333333333333333,37.0,279.0,370.0,0.0,0.2424242424242424,1,0.0909090909090909,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,26.0,188.0,370.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.4457142857142857,0.9454545454545454,0.6058252427184466,3,0.4463034194716341,0.4457142857142857,34.0,333.5,370.0,0.0,0.9454545454545454,1,0.0909090909090909,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,87.0,116.7,120.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,188.0,355.4,370.0,0.0,0.0,0,0.0,0,0.0
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,Proerythroblast,0.0805,Intermediate,161,0.6167400881057269,0.8695652173913043,0.7216494845360825,3,0.5966475095785441,0.6167400881057269,39.0,253.4,297.0,0.0,0.8695652173913043,2,0.2222222222222222,1,0.1111111111111111
ATAC_lambda_0,ATAC,0.0,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,Transitional B,0.0595,Intermediate,119,0.4044943820224719,0.3025210084033613,0.3461538461538461,2,0.3968295218295218,0.4044943820224719,36.0,253.4,297.0,0.0,0.3025210084033613,0,0.0,0,0.0
