dataset,metric_scope,data_type_a,data_type_b,k,within_anchor_edge_fraction,cell_knn_jaccard_mean,cell_knn_jaccard_p10,cell_knn_jaccard_median,modality_conflict_anchor_count,modality_conflict_anchor_rate,n_cells,realized_K,source_dir
D11,modality_to_shared_anchor,RNA,,5,0.4883,,,,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_to_shared_anchor,ATAC,,5,0.3422,,,,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_pair_overlap,RNA,ATAC,5,,0.008400793650793652,0.0,0.0,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_to_shared_anchor,RNA,,15,0.46226666666666666,,,,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_to_shared_anchor,ATAC,,15,0.3365666666666667,,,,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_pair_overlap,RNA,ATAC,15,,0.022669192876089424,0.0,0.0,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_to_shared_anchor,RNA,,30,0.44316666666666665,,,,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_to_shared_anchor,ATAC,,30,0.3298833333333333,,,,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D11,modality_pair_overlap,RNA,ATAC,30,,0.04372321613644709,0.0,0.01694915254237288,3,0.075,2000,40,revision_results/02_modality/blockdiag/D11
D17,modality_to_shared_anchor,RNA,,5,0.2885,,,,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_to_shared_anchor,ATAC,,5,0.2641,,,,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_pair_overlap,RNA,ATAC,5,,0.0036388888888888886,0.0,0.0,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_to_shared_anchor,RNA,,15,0.2839,,,,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_to_shared_anchor,ATAC,,15,0.26493333333333335,,,,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_pair_overlap,RNA,ATAC,15,,0.007739979369289715,0.0,0.0,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_to_shared_anchor,RNA,,30,0.2794333333333333,,,,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_to_shared_anchor,ATAC,,30,0.26526666666666665,,,,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D17,modality_pair_overlap,RNA,ATAC,30,,0.013834689360735737,0.0,0.0,9,0.225,2000,40,revision_results/02_modality/blockdiag/D17
D18,modality_to_shared_anchor,RNA,,5,0.3157,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,ATAC,,5,0.2746,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,ADT,,5,0.3524,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,RNA,ATAC,5,,0.004527777777777777,0.0,0.0,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,RNA,ADT,5,,0.006402777777777778,0.0,0.0,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,ATAC,ADT,5,,0.005361111111111111,0.0,0.0,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,RNA,,15,0.3147333333333333,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,ATAC,,15,0.26453333333333334,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,ADT,,15,0.3420666666666667,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,RNA,ATAC,15,,0.013174645278093554,0.0,0.0,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,RNA,ADT,15,,0.020100381036587935,0.0,0.0,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,ATAC,ADT,15,,0.011042419266557198,0.0,0.0,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,RNA,,30,0.3108666666666667,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,ATAC,,30,0.2513,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_to_shared_anchor,ADT,,30,0.33515,,,,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,RNA,ATAC,30,,0.026181465467881606,0.0,0.01694915254237288,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,RNA,ADT,30,,0.04022066849573495,0.0,0.034482758620689655,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D18,modality_pair_overlap,ATAC,ADT,30,,0.020003576227201527,0.0,0.01694915254237288,6,0.15,2000,40,revision_results/02_modality/blockdiag/D18
D5,modality_to_shared_anchor,RNA,,5,0.5112,,,,2,0.058823529411764705,2000,34,revision_results/02_modality/blockdiag/D5
