metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,50,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
1,3,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
2,12,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
3,201,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
4,51,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
5,282,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
6,33,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
7,72,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
8,89,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
9,304,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
10,6,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
11,13,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
12,7,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
13,14,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
14,25,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
15,102,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
16,244,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
17,43,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
18,28,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
19,12,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
20,3,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
21,4,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
22,34,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
23,49,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
24,38,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
25,5,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
26,10,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
27,13,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
28,58,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
29,39,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
30,8,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
31,2,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
32,6,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
33,7,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
34,17,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
35,12,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
36,21,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
37,6,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
38,46,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
39,31,D11,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
