dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,B1 B,0.0355,Intermediate,71,0.5,0.028169014084507043,0.05333333333333334,1,0.5,0.5,87.5,297.15,312.0,0.0,0.028169014084507043,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,CD14+ Mono,0.054,Intermediate,108,0.6227544910179641,0.9629629629629629,0.7563636363636365,1,0.6227544910179641,0.6227544910179641,167.0,297.5,312.0,0.0,0.9629629629629629,1,0.3333333333333333,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,239.5,304.75,312.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4+ T activated,0.076,Intermediate,152,0.46511627906976744,0.13157894736842105,0.20512820512820512,6,0.4233808674985145,0.46511627906976744,23.0,163.59999999999974,279.0,0.0,0.13157894736842105,1,0.04,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4+ T naive,0.03,Intermediate,60,0.34782608695652173,0.13333333333333333,0.1927710843373494,2,0.3833333333333333,0.34782608695652173,35.0,202.19999999999993,279.0,0.0,0.13333333333333333,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8+ T,0.4025,Common,805,0.7322097378277154,0.9714285714285714,0.8350240256273358,24,0.7326010493898675,0.7322097378277154,15.5,172.59999999999997,279.0,0.006211180124223602,0.9714285714285714,22,0.6470588235294118,12,0.35294117647058826
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,69.0,152.2,159.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,163.0,166.6,167.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,HSC,0.0075,Rare,15,0.0,0.0,0.0,0,,,159.0,283.0,312.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,Lymph prog,0.034,Intermediate,68,0.5,0.04411764705882353,0.0810810810810811,1,0.5,0.5,103.5,297.15,312.0,0.0,0.04411764705882353,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,MK/E prog,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,125.0,281.4,312.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,29.0,192.5999999999998,279.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.6666666666666666,0.37575757575757573,0.48062015503875954,1,0.6666666666666666,0.6666666666666666,23.0,224.39999999999992,312.0,0.0,0.37575757575757573,1,0.1111111111111111,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,80.0,120.5,125.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,26.5,273.75,312.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,Proerythroblast,0.0805,Intermediate,161,0.5563380281690141,0.9813664596273292,0.7101123595505618,2,0.5413333333333333,0.5563380281690141,86.0,152.2,159.0,0.0,0.9813664596273292,1,0.2,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,Transitional B,0.0595,Intermediate,119,0.33974358974358976,0.8907563025210085,0.4918793503480279,1,0.33974358974358976,0.33974358974358976,109.0,273.75,312.0,0.0,0.8907563025210085,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,cDC2,0.021,Intermediate,42,0.0,0.0,0.0,0,,,167.0,297.5,312.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_modality_noise,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,312.0,312.0,312.0,0.0,0.0,0,0.0,0,0.0
