dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Endothelial Cells,0.002,Rare,4,0.0,0.0,0.0,0,,,71.5,113.85,117.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Injured PT-like,0.0175,Intermediate,35,0.25,0.05714285714285714,0.09302325581395347,2,0.26666666666666666,0.25,69.5,285.34999999999997,299.0,0.0,0.05714285714285714,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Low Quality / Dying,0.0355,Intermediate,71,0.0,0.0,0.0,0,,,42.0,281.15,299.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Mast Cells,0.004,Rare,8,0.0,0.0,0.0,0,,,180.0,287.09999999999997,299.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Myeloid Cells,0.0375,Intermediate,75,0.6727272727272727,0.49333333333333335,0.5692307692307692,4,0.6574900793650793,0.6727272727272727,37.0,245.44999999999987,299.0,0.18666666666666668,0.49333333333333335,2,0.2,2,0.2
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Parietal Epithelial Cells,0.034,Intermediate,68,0.3333333333333333,0.014705882352941176,0.028169014084507043,1,0.3333333333333333,0.3333333333333333,29.0,278.0,299.0,0.0,0.014705882352941176,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Podocytes,0.083,Intermediate,166,0.3,0.018072289156626505,0.03409090909090909,1,0.3,0.3,28.0,233.89999999999972,299.0,0.0,0.018072289156626505,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Proximal Tubule,0.4285,Common,857,0.6815501263689975,0.9439906651108518,0.7915851272015656,14,0.6363177252954023,0.6815501263689975,24.0,219.19999999999987,299.0,0.0,0.9439906651108518,11,0.3333333333333333,6,0.18181818181818182
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Stressed Tumor (p53+),0.0635,Intermediate,127,0.32,0.06299212598425197,0.10526315789473684,2,0.3345588235294118,0.32,28.0,253.5,299.0,0.0,0.06299212598425197,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,T Cells,0.007,Rare,14,0.0,0.0,0.0,0,,,45.0,233.5499999999999,299.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Tumor (Neuronal-like),0.0845,Intermediate,169,0.4444444444444444,0.047337278106508875,0.0855614973262032,2,0.6666666666666666,0.4444444444444444,27.0,238.79999999999978,299.0,0.01775147928994083,0.047337278106508875,1,0.034482758620689655,1,0.034482758620689655
D17,GARQ,0,diagnostic_variant_modality_noise,0.02,Tumor Epithelial,0.203,Common,406,0.5763688760806917,0.9852216748768473,0.7272727272727273,14,0.580920750089,0.5763688760806917,27.0,129.59999999999997,180.0,0.029556650246305417,0.9852216748768473,8,0.47058823529411764,4,0.23529411764705882
