metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,36,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
1,7,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
2,235,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
3,17,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
4,7,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
5,8,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
6,52,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
7,4,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
8,143,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
9,12,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
10,20,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
11,8,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
12,17,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
13,53,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
14,49,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
15,6,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
16,35,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
17,236,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
18,8,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
19,13,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
20,55,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
21,49,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
22,255,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
23,6,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
24,20,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
25,26,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
26,7,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
27,20,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
28,14,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
29,43,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
30,17,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
31,19,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
32,5,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
33,161,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
34,42,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
35,42,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
36,107,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
37,1,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
38,124,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
39,21,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
