metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,106,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
1,128,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
2,6,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
3,6,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
4,319,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
5,1,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
6,1,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
7,100,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
8,1,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
9,218,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
10,30,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
11,42,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
12,54,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
13,23,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
14,25,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
15,49,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
16,15,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
17,10,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
18,63,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
19,58,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
20,76,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
21,21,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
22,19,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
23,1,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
24,28,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
25,196,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
26,29,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
27,21,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
28,100,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
29,6,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
30,24,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
31,13,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
32,21,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
33,22,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
34,84,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
35,7,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
36,10,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
37,10,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
38,39,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
39,18,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
