metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,42,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
1,11,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
2,41,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
3,77,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
4,5,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
5,369,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
6,11,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
7,13,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
8,161,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
9,92,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
10,23,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
11,7,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
12,13,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
13,34,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
14,5,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
15,58,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
16,83,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
17,166,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
18,32,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
19,49,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
20,24,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
21,3,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
22,58,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
23,30,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
24,122,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
26,2,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
27,10,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
28,28,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
29,5,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
30,66,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
31,18,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
32,18,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
33,9,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
34,9,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
35,54,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
36,208,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
37,18,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
38,14,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
39,12,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
