metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,56,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
1,12,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
2,9,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
3,177,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
4,10,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
5,12,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
6,20,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
7,267,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
8,4,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
9,21,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
10,33,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
11,65,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
12,11,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
13,15,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
14,5,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
15,1,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
16,14,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
17,28,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
18,74,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
19,30,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
20,2,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
21,51,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
22,11,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
23,50,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
24,33,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
25,16,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
26,13,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
27,315,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
28,58,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
30,70,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
31,21,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
32,45,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
33,7,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
34,19,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
35,208,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
36,42,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
37,99,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
38,26,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
39,50,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,39,2000
