dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,B.Activated,0.0325,Intermediate,65,0.0,0.0,0.0,0,,,70.0,243.39999999999998,267.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,B.Naive,0.1545,Common,309,0.764525993883792,0.8090614886731392,0.7861635220125787,5,0.7773216940656728,0.764525993883792,56.0,243.39999999999998,267.0,0.016181229773462782,0.8090614886731392,4,0.4444444444444444,4,0.4444444444444444
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,DC.Myeloid,0.001,Rare,2,0.0,0.0,0.0,0,,,208.0,208.0,208.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,Mono.CD14,0.1345,Common,269,0.7304347826086957,0.9368029739776952,0.8208469055374593,6,0.909070512820513,0.7304347826086957,30.5,240.44999999999993,267.0,0.08178438661710037,0.9368029739776952,6,0.6,5,0.5
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,Mono.CD16,0.004,Rare,8,0.0,0.0,0.0,0,,,129.0,258.15,267.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,NK,0.0525,Intermediate,105,0.5,0.2761904761904762,0.3558282208588957,4,0.4650932400932401,0.5,45.0,276.59999999999997,315.0,0.0,0.2761904761904762,1,0.058823529411764705,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,59.5,282.5999999999999,315.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD4.Memory,0.2205,Common,441,0.39419795221843,0.5238095238095238,0.4498539435248296,11,0.4338215220568161,0.39419795221843,31.5,234.54999999999995,315.0,0.0,0.5238095238095238,1,0.03125,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD4.Naive,0.221,Common,442,0.39226519337016574,0.4819004524886878,0.43248730964467,10,0.4806339970245433,0.39226519337016574,31.5,240.44999999999982,315.0,0.0,0.4819004524886878,3,0.1,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD8.Effector,0.12,Common,240,0.5130434782608696,0.24583333333333332,0.3323943661971831,2,0.6385732323232323,0.5130434782608696,43.5,258.14999999999986,315.0,0.0,0.24583333333333332,1,0.041666666666666664,1,0.041666666666666664
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD8.Naive,0.0565,Intermediate,113,0.3076923076923077,0.07079646017699115,0.11510791366906475,1,0.3076923076923077,0.3076923076923077,43.5,264.04999999999995,315.0,0.0,0.07079646017699115,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.DoubleNegative,0.001,Rare,2,0.0,0.0,0.0,0,,,315.0,315.0,315.0,0.0,0.0,0,0.0,0,0.0
