metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,8,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
1,135,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
2,26,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
3,10,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
4,65,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
5,126,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
6,19,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
7,5,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
8,226,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
9,9,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
10,191,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
11,4,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
12,16,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
13,156,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
14,52,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
15,37,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
16,8,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
17,16,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
18,12,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
19,31,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
20,90,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
21,5,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
22,55,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
23,11,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
24,102,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
25,6,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
26,62,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
27,22,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
28,12,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
29,11,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
30,2,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
31,6,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
32,9,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
33,157,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
34,8,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
35,227,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
36,25,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
37,20,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
38,16,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
39,2,D18,GARQ,0,diagnostic_variant_modality_noise,0.02,40,40,2000
