dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,B.Activated,0.0325,Intermediate,65,0.0,0.0,0.0,0,,,71.0,211.84999999999997,227.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,B.Naive,0.1545,Common,309,0.8337874659400545,0.9902912621359223,0.9053254437869822,4,0.8103235787707154,0.8337874659400545,16.0,206.79999999999998,227.0,0.006472491909385114,0.9902912621359223,4,0.8,3,0.6
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,DC.Myeloid,0.001,Rare,2,0.0,0.0,0.0,0,,,157.0,157.0,157.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,Mono.CD14,0.1345,Common,269,0.960431654676259,0.9925650557620818,0.9762340036563071,3,0.9423695056299423,0.960431654676259,37.0,146.0,157.0,0.0,0.9925650557620818,3,0.6,3,0.6
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,Mono.CD16,0.004,Rare,8,0.0,0.0,0.0,0,,,69.5,148.74999999999997,157.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,NK,0.0525,Intermediate,105,0.7661290322580645,0.9047619047619048,0.8296943231441049,4,0.7485641891891892,0.7661290322580645,19.0,146.54999999999998,156.0,0.0,0.9047619047619048,3,0.3,3,0.3
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,96.0,148.74999999999997,157.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD4.Memory,0.2205,Common,441,0.6371308016877637,0.3424036281179138,0.44542772861356933,9,0.5929994388327722,0.6371308016877637,18.0,179.09999999999997,226.0,0.0,0.3424036281179138,6,0.21428571428571427,3,0.10714285714285714
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD4.Naive,0.221,Common,442,0.5808383233532934,0.8778280542986425,0.6990990990990991,13,0.5685784422468323,0.5808383233532934,16.0,180.49999999999997,226.0,0.0,0.8778280542986425,9,0.3333333333333333,2,0.07407407407407407
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD8.Effector,0.12,Common,240,0.5015873015873016,0.6583333333333333,0.5693693693693693,6,0.5912182759494587,0.5015873015873016,22.0,156.0,226.0,0.0,0.6583333333333333,3,0.14285714285714285,2,0.09523809523809523
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.CD8.Naive,0.0565,Intermediate,113,0.5454545454545454,0.05309734513274336,0.0967741935483871,1,0.5454545454545454,0.5454545454545454,21.0,196.24999999999994,226.0,0.0,0.05309734513274336,1,0.05555555555555555,0,0.0
D18,GARQ,0,diagnostic_variant_modality_noise,0.02,T.DoubleNegative,0.001,Rare,2,0.0,0.0,0.0,0,,,35.5,53.05,55.0,0.0,0.0,0,0.0,0,0.0
