metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,35,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
1,16,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
2,9,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
3,109,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
4,121,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
5,44,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
6,1,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
7,20,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
8,13,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
11,69,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
13,58,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
14,184,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
15,9,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
16,110,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
17,246,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
18,1,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
19,11,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
20,38,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
21,14,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
22,1,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
23,57,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
24,14,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
25,6,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
26,2,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
27,19,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
28,7,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
29,11,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
31,572,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
32,9,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
33,17,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
34,7,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
35,132,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
37,28,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
38,10,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,40,34,2000
