dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery,source_file
D11,GARQ,0,instrumented_legacy,0.02,B1 B,0.0355,Intermediate,71,0.2,0.056338028169014,0.0879120879120879,2,0.21875,0.2,20.0,432.5499999999998,586.0,0.0,0.056338028169014,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD14+ Mono,0.054,Intermediate,108,0.5263157894736842,0.925925925925926,0.6711409395973154,7,0.4381471120671519,0.5263157894736842,23.0,165.59999999999974,273.0,0.0,0.925925925925926,3,0.2307692307692307,1,0.0769230769230769,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD16+ Mono,0.0105,Intermediate,21,0.25,0.0476190476190476,0.08,1,0.25,0.25,23.0,291.7,307.0,0.0,0.0476190476190476,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T activated,0.076,Intermediate,152,0.3793103448275862,0.1447368421052631,0.2095238095238095,7,0.4246456442108616,0.3793103448275862,12.0,305.29999999999995,586.0,0.0,0.1447368421052631,2,0.0909090909090909,1,0.0454545454545454,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T naive,0.03,Intermediate,60,0.5,0.0333333333333333,0.0625,1,0.5,0.5,14.5,305.29999999999995,586.0,0.0,0.0333333333333333,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD8+ T,0.4025,Common,805,0.7353787152444871,0.9527950310559006,0.8300865800865801,12,0.5511964797220011,0.7353787152444871,13.0,264.3999999999994,586.0,0.0049689440993788,0.9527950310559006,5,0.2,3,0.12,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,17.0,481.5999999999997,586.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,15.5,76.25,94.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,HSC,0.0075,Rare,15,0.3043478260869565,0.4666666666666667,0.3684210526315789,1,0.3043478260869565,0.3043478260869565,23.0,262.5,273.0,0.0,0.4666666666666667,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Lymph prog,0.034,Intermediate,68,0.2352941176470588,0.0588235294117647,0.0941176470588235,1,0.2352941176470588,0.2352941176470588,23.0,362.7999999999998,586.0,0.0,0.0588235294117647,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,MK/E prog,0.0165,Intermediate,33,0.5,0.0303030303030303,0.0571428571428571,1,0.5,0.5,17.0,173.49999999999983,238.0,0.0,0.0303030303030303,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,24.0,418.5999999999996,586.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.3714285714285714,0.8666666666666667,0.52,3,0.3924441571500394,0.3714285714285714,23.5,404.6499999999999,586.0,0.0,0.8666666666666667,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Normoblast,0.0105,Intermediate,21,0.5,0.0476190476190476,0.0869565217391304,1,0.5,0.5,8.0,193.6,238.0,0.0,0.0476190476190476,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,24.0,256.99999999999994,307.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Proerythroblast,0.0805,Intermediate,161,0.6434426229508197,0.9751552795031057,0.7753086419753086,2,0.5735294117647058,0.6434426229508197,7.0,181.75,238.0,0.0,0.9751552795031057,1,0.1666666666666666,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Transitional B,0.0595,Intermediate,119,0.0,0.0,0.0,0,,,19.5,284.9,307.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,cDC2,0.021,Intermediate,42,0.25,0.0476190476190476,0.08,1,0.25,0.25,23.0,288.29999999999995,307.0,0.0,0.0476190476190476,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,23.0,72.5,78.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,B1 B,0.0355,Intermediate,71,0.3181818181818182,0.1971830985915492,0.2434782608695652,5,0.3538461538461538,0.3181818181818182,22.0,235.5,243.0,0.0,0.1971830985915492,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD14+ Mono,0.054,Intermediate,108,0.4115384615384615,0.9907407407407408,0.5815217391304347,3,0.67193515704154,0.4115384615384615,38.0,170.29999999999995,188.0,0.0185185185185185,0.9907407407407408,2,0.5,2,0.5,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,75.0,176.7,188.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T activated,0.076,Intermediate,152,0.6666666666666666,0.0263157894736842,0.050632911392405,1,0.6666666666666666,0.6666666666666666,70.0,277.09999999999985,380.0,0.0,0.0263157894736842,1,0.0666666666666666,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,80.5,313.84999999999985,380.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD8+ T,0.4025,Common,805,0.7224231464737794,0.9925465838509316,0.836211407639979,16,0.6861278290858897,0.7224231464737794,18.0,233.0,380.0,0.0074534161490683,0.9925465838509316,13,0.6190476190476191,7,0.3333333333333333,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Erythroblast,0.0225,Intermediate,45,0.3333333333333333,0.0444444444444444,0.0784313725490196,1,0.3333333333333333,0.3333333333333333,9.0,110.2,114.0,0.0,0.0444444444444444,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,70.0,176.2,188.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,HSC,0.0075,Rare,15,0.5,0.0666666666666666,0.1176470588235294,1,0.5,0.5,95.0,178.7,188.0,0.0,0.0666666666666666,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Lymph prog,0.034,Intermediate,68,0.4090909090909091,0.1323529411764706,0.1999999999999999,3,0.4746031746031746,0.4090909090909091,38.0,284.09999999999985,380.0,0.0,0.1323529411764706,1,0.0666666666666666,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,MK/E prog,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,95.0,173.2,188.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,54.0,299.14999999999986,380.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.4201680672268907,0.9090909090909092,0.5747126436781609,2,0.3878059345895603,0.4201680672268907,18.0,238.0,243.0,0.0,0.9090909090909092,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Normoblast,0.0105,Intermediate,21,1.0,0.1904761904761904,0.32,2,1.0,1.0,7.5,109.25,114.0,0.1904761904761904,0.1904761904761904,2,0.3333333333333333,2,0.3333333333333333,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,48.0,210.75,243.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Proerythroblast,0.0805,Intermediate,161,0.5508021390374331,0.639751552795031,0.5919540229885057,5,0.5136662168241115,0.5508021390374331,26.0,154.69999999999993,188.0,0.0,0.639751552795031,2,0.2,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Transitional B,0.0595,Intermediate,119,0.0,0.0,0.0,0,,,32.0,237.5,243.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,cDC2,0.021,Intermediate,42,0.5,0.0714285714285714,0.125,1,0.5,0.5,48.0,229.25,243.0,0.0,0.0714285714285714,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,101.0,179.29999999999998,188.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_ATAC_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,B1 B,0.0355,Intermediate,71,0.5,0.0140845070422535,0.0273972602739726,1,0.5,0.5,65.0,163.0999999999998,294.0,0.0,0.0140845070422535,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD14+ Mono,0.054,Intermediate,108,0.6777777777777778,0.5648148148148148,0.6161616161616162,2,0.4529411764705883,0.6777777777777778,18.5,101.3,104.0,0.0,0.5648148148148148,1,0.1,1,0.1,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD16+ Mono,0.0105,Intermediate,21,0.5714285714285714,0.1904761904761904,0.2857142857142857,1,0.5714285714285714,0.5714285714285714,57.5,93.45,98.0,0.0,0.1904761904761904,1,0.125,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T activated,0.076,Intermediate,152,0.3571428571428571,0.1973684210526315,0.2542372881355932,2,0.4444444444444444,0.3571428571428571,23.0,133.09999999999997,294.0,0.0,0.1973684210526315,1,0.0434782608695652,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,60.0,182.69999999999985,294.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,CD8+ T,0.4025,Common,805,0.6751091703056769,0.9602484472049688,0.7928205128205129,21,0.6356018694450819,0.6751091703056769,21.0,127.39999999999996,294.0,0.0037267080745341,0.9602484472049688,15,0.5172413793103449,10,0.3448275862068966,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,220.0,220.0,220.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,G/M prog,0.007,Rare,14,0.25,0.0714285714285714,0.1111111111111111,1,0.25,0.25,60.0,123.2,140.0,0.0,0.0714285714285714,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,HSC,0.0075,Rare,15,0.2,0.2666666666666666,0.2285714285714286,1,0.2,0.2,30.0,123.0,140.0,0.0,0.2666666666666666,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Lymph prog,0.034,Intermediate,68,0.0,0.0,0.0,0,,,70.0,253.29999999999995,294.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,MK/E prog,0.0165,Intermediate,33,0.6333333333333333,0.5757575757575758,0.6031746031746033,1,0.6333333333333333,0.6333333333333333,85.0,195.99999999999997,220.0,0.0,0.5757575757575758,1,0.1428571428571428,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,60.0,198.59999999999977,294.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.4086021505376344,0.6909090909090909,0.5135135135135135,5,0.5747366954583449,0.4086021505376344,38.5,160.0,220.0,0.006060606060606,0.6909090909090909,2,0.125,1,0.0625,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,114.0,209.4,220.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Plasma cell,0.004,Rare,8,1.0,0.125,0.2222222222222222,1,1.0,1.0,55.0,125.69999999999996,135.0,0.125,0.125,1,0.1428571428571428,1,0.1428571428571428,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Proerythroblast,0.0805,Intermediate,161,0.6622807017543859,0.937888198757764,0.7763496143958869,2,0.5840909090909091,0.6622807017543859,20.0,170.4999999999999,220.0,0.0,0.937888198757764,1,0.1428571428571428,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,Transitional B,0.0595,Intermediate,119,0.4711538461538461,0.4117647058823529,0.4394618834080717,1,0.4711538461538461,0.4711538461538461,46.0,137.75,140.0,0.0,0.4117647058823529,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,cDC2,0.021,Intermediate,42,0.6666666666666666,0.0952380952380952,0.1666666666666666,1,0.6666666666666666,0.6666666666666666,72.5,209.2999999999999,294.0,0.0,0.0952380952380952,1,0.0833333333333333,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,98.0,135.79999999999998,140.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D11/RNA_seed0/per_type_metrics_long.csv
D17,GARQ,0,instrumented_legacy,0.02,Endothelial Cells,0.002,Rare,4,0.0,0.0,0.0,0,,,426.0,530.4,542.0,0.0,0.0,0,0.0,0,0.0,revision_results/02_modality/smoke/D17/ATAC_seed0/per_type_metrics_long.csv
