metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,5,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
1,13,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
2,2,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
3,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
4,2,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
5,17,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
6,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
7,10,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
8,273,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
9,5,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
10,23,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
11,13,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
12,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
13,8,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
14,5,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
15,16,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
16,57,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
17,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
18,11,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
19,24,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
20,9,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
21,17,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
22,23,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
23,16,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
24,14,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
25,10,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
26,23,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
27,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
28,238,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
29,586,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
30,34,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
31,94,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
32,307,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
33,6,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
34,5,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
35,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
36,78,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
37,23,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
38,3,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
39,6,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
