metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,23,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
1,10,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
2,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
3,135,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
4,75,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
5,66,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
6,60,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
7,20,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
8,21,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
9,6,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
10,55,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
11,98,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
12,220,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
13,30,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
14,116,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
15,2,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
16,9,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
17,113,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
18,104,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
19,18,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
20,1,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
21,140,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
22,6,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
23,22,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
24,7,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
25,97,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
26,294,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
27,8,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
28,37,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
29,4,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
30,85,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
31,12,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
32,3,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
33,11,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
34,18,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
35,1,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
36,9,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
37,40,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
38,5,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
39,15,D11,GARQ,0,instrumented_legacy,0.02,40,40,2000
