dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,instrumented_legacy,0.02,B1 B,0.0355,Intermediate,71,0.5,0.014084507042253521,0.027397260273972605,1,0.5,0.5,65.0,163.0999999999998,294.0,0.0,0.014084507042253521,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,CD14+ Mono,0.054,Intermediate,108,0.6777777777777778,0.5648148148148148,0.6161616161616162,2,0.4529411764705883,0.6777777777777778,18.5,101.3,104.0,0.0,0.5648148148148148,1,0.1,1,0.1
D11,GARQ,0,instrumented_legacy,0.02,CD16+ Mono,0.0105,Intermediate,21,0.5714285714285714,0.19047619047619047,0.2857142857142857,1,0.5714285714285714,0.5714285714285714,57.5,93.44999999999999,98.0,0.0,0.19047619047619047,1,0.125,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T activated,0.076,Intermediate,152,0.35714285714285715,0.19736842105263158,0.2542372881355932,2,0.4444444444444444,0.35714285714285715,23.0,133.09999999999997,294.0,0.0,0.19736842105263158,1,0.043478260869565216,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,60.0,182.69999999999982,294.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,CD8+ T,0.4025,Common,805,0.6751091703056769,0.9602484472049689,0.7928205128205129,21,0.6356018694450819,0.6751091703056769,21.0,127.39999999999996,294.0,0.0037267080745341614,0.9602484472049689,15,0.5172413793103449,10,0.3448275862068966
D11,GARQ,0,instrumented_legacy,0.02,Erythroblast,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,220.0,220.0,220.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,G/M prog,0.007,Rare,14,0.25,0.07142857142857142,0.11111111111111112,1,0.25,0.25,60.0,123.19999999999999,140.0,0.0,0.07142857142857142,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,HSC,0.0075,Rare,15,0.2,0.26666666666666666,0.2285714285714286,1,0.2,0.2,30.0,122.99999999999999,140.0,0.0,0.26666666666666666,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,Lymph prog,0.034,Intermediate,68,0.0,0.0,0.0,0,,,70.0,253.29999999999995,294.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,MK/E prog,0.0165,Intermediate,33,0.6333333333333333,0.5757575757575758,0.6031746031746033,1,0.6333333333333333,0.6333333333333333,85.0,195.99999999999994,220.0,0.0,0.5757575757575758,1,0.14285714285714285,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,60.0,198.59999999999977,294.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,Naive CD20+ B,0.0825,Intermediate,165,0.40860215053763443,0.6909090909090909,0.5135135135135135,5,0.5747366954583449,0.40860215053763443,38.5,160.0,220.0,0.006060606060606061,0.6909090909090909,2,0.125,1,0.0625
D11,GARQ,0,instrumented_legacy,0.02,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,114.0,209.39999999999998,220.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,Plasma cell,0.004,Rare,8,1.0,0.125,0.2222222222222222,1,1.0,1.0,55.0,125.69999999999997,135.0,0.125,0.125,1,0.14285714285714285,1,0.14285714285714285
D11,GARQ,0,instrumented_legacy,0.02,Proerythroblast,0.0805,Intermediate,161,0.6622807017543859,0.937888198757764,0.7763496143958869,2,0.5840909090909091,0.6622807017543859,20.0,170.4999999999999,220.0,0.0,0.937888198757764,1,0.14285714285714285,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,Transitional B,0.0595,Intermediate,119,0.47115384615384615,0.4117647058823529,0.4394618834080717,1,0.47115384615384615,0.47115384615384615,46.0,137.75,140.0,0.0,0.4117647058823529,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,cDC2,0.021,Intermediate,42,0.6666666666666666,0.09523809523809523,0.16666666666666666,1,0.6666666666666666,0.6666666666666666,72.5,209.2999999999999,294.0,0.0,0.09523809523809523,1,0.08333333333333333,0,0.0
D11,GARQ,0,instrumented_legacy,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,98.0,135.79999999999998,140.0,0.0,0.0,0,0.0,0,0.0
