metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,1,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
1,4,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
2,8,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
3,9,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
4,22,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
5,145,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
6,4,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
7,8,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
8,60,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
9,8,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
10,410,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
11,58,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
12,12,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
13,2,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
14,6,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
15,21,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
16,1,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
17,2,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
18,13,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
19,125,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
20,2,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
21,4,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
22,78,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
23,59,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
24,11,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
25,8,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
26,7,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
27,35,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
29,7,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
30,47,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
31,173,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
32,5,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
33,23,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
34,458,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
35,3,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
36,4,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
37,139,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
38,14,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
39,4,D18,GARQ,0,instrumented_legacy,0.02,40,39,2000
