metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,12,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
1,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
2,100,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
3,22,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
4,128,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
5,324,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
6,4,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
7,4,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
8,146,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
9,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
10,7,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
11,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
12,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
13,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
14,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
15,19,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
16,83,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
17,19,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
18,5,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
19,89,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
20,76,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
21,21,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
22,4,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
23,8,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
24,8,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
25,19,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
26,9,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
27,24,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
28,149,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
29,41,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
30,64,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
31,77,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
32,220,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
33,1,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
34,28,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
35,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
36,19,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
37,15,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
38,185,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
39,38,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
