dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,instrumented_legacy,0.02,B.Activated,0.0325,Intermediate,65,0.0,0.0,0.0,0,,,70.0,204.24999999999997,220.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,B.Naive,0.1545,Common,309,0.6430107526881721,0.9676375404530745,0.7726098191214471,6,0.6457648090427371,0.6430107526881721,52.5,129.89999999999998,146.0,0.0,0.9676375404530745,5,0.625,2,0.25
D18,GARQ,0,instrumented_legacy,0.02,DC.Myeloid,0.001,Rare,2,0.0,0.0,0.0,0,,,147.5,148.85,149.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD14,0.1345,Common,269,0.4701492537313433,0.7026022304832714,0.5633383010432191,6,0.6414502674216557,0.4701492537313433,52.5,173.84999999999997,220.0,0.011152416356877323,0.7026022304832714,4,0.2857142857142857,3,0.21428571428571427
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD16,0.004,Rare,8,0.0,0.0,0.0,0,,,184.5,308.4,324.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,NK,0.0525,Intermediate,105,0.8809523809523809,0.3523809523809524,0.5034013605442177,4,0.8125,0.8809523809523809,23.0,197.25,220.0,0.06666666666666667,0.3523809523809524,4,0.2857142857142857,2,0.14285714285714285
D18,GARQ,0,instrumented_legacy,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,64.0,298.0,324.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Memory,0.2205,Common,441,0.5301587301587302,0.3786848072562358,0.4417989417989418,12,0.6389119192358308,0.5301587301587302,21.0,205.99999999999991,324.0,0.0022675736961451248,0.3786848072562358,8,0.27586206896551724,3,0.10344827586206896
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Naive,0.221,Common,442,0.5461689587426326,0.6289592760180995,0.5846477392218717,2,0.5635135135135135,0.5461689587426326,58.5,218.24999999999997,324.0,0.0,0.6289592760180995,1,0.045454545454545456,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Effector,0.12,Common,240,0.4868913857677903,0.5416666666666666,0.5128205128205128,10,0.5805544117687427,0.4868913857677903,22.0,212.9999999999999,324.0,0.016666666666666666,0.5416666666666666,5,0.2,2,0.08
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Naive,0.0565,Intermediate,113,0.0,0.0,0.0,0,,,70.0,225.20000000000007,324.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.DoubleNegative,0.001,Rare,2,0.0,0.0,0.0,0,,,254.5,317.05,324.0,0.0,0.0,0,0.0,0,0.0
