dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,instrumented_legacy,0.02,B.Activated,0.0325,Intermediate,65,0.0,0.0,0.0,0,,,126.0,592.1999999999999,616.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,B.Naive,0.1545,Common,309,0.3319919517102616,0.5339805825242718,0.4094292803970223,1,0.3319919517102616,0.3319919517102616,68.0,562.4499999999998,616.0,0.0,0.5339805825242718,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,DC.Myeloid,0.001,Rare,2,0.0,0.0,0.0,0,,,556.5,610.05,616.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD14,0.1345,Common,269,0.29383116883116883,0.6728624535315985,0.40903954802259884,1,0.29383116883116883,0.29383116883116883,109.0,580.3,616.0,0.0,0.6728624535315985,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD16,0.004,Rare,8,0.0,0.0,0.0,0,,,497.0,604.1,616.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,NK,0.0525,Intermediate,105,0.625,0.14285714285714285,0.23255813953488372,3,0.6777777777777777,0.625,24.0,508.89999999999975,616.0,0.0,0.14285714285714285,3,0.15789473684210525,1,0.05263157894736842
D18,GARQ,0,instrumented_legacy,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,82.0,539.9499999999998,616.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Memory,0.2205,Common,441,0.42105263157894735,0.14512471655328799,0.21585160202360879,12,0.4407299741602067,0.42105263157894735,15.0,218.75,616.0,0.0,0.14512471655328799,2,0.05555555555555555,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Naive,0.221,Common,442,0.49238578680203043,0.43891402714932126,0.46411483253588515,15,0.5504400537733871,0.49238578680203043,15.0,237.29999999999893,616.0,0.0,0.43891402714932126,8,0.22857142857142856,2,0.05714285714285714
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Effector,0.12,Common,240,0.4290322580645161,0.5541666666666667,0.48363636363636364,6,0.45008314145885864,0.4290322580645161,22.5,367.14999999999947,616.0,0.0,0.5541666666666667,1,0.03571428571428571,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Naive,0.0565,Intermediate,113,0.42857142857142855,0.02654867256637168,0.049999999999999996,1,0.42857142857142855,0.42857142857142855,21.0,422.79999999999893,616.0,0.0,0.02654867256637168,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.DoubleNegative,0.001,Rare,2,0.0,0.0,0.0,0,,,362.5,590.65,616.0,0.0,0.0,0,0.0,0,0.0
