metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,5,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
1,11,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
2,48,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
3,205,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
4,30,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
5,4,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
6,18,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
7,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
8,41,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
9,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
10,5,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
11,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
12,20,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
13,22,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
14,30,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
15,12,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
16,6,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
17,7,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
18,17,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
19,25,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
20,39,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
21,17,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
22,6,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
23,142,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
24,6,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
25,9,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
26,65,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
27,80,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
28,4,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
29,68,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
30,22,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
31,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
32,211,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
33,70,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
34,4,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
35,2,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
36,97,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
37,339,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
38,7,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
39,261,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
