dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,instrumented_legacy,0.02,B.Activated,0.0325,Intermediate,65,0.9090909090909091,0.15384615384615385,0.26315789473684215,1,0.9090909090909091,0.9090909090909091,22.0,307.29999999999995,339.0,0.0,0.15384615384615385,1,0.3333333333333333,1,0.3333333333333333
D18,GARQ,0,instrumented_legacy,0.02,B.Naive,0.1545,Common,309,0.8465753424657534,1.0,0.9169139465875371,3,0.8200813444176277,0.8465753424657534,22.0,307.29999999999995,339.0,0.0,1.0,3,1.0,3,1.0
D18,GARQ,0,instrumented_legacy,0.02,DC.Myeloid,0.001,Rare,2,0.0,0.0,0.0,0,,,261.0,261.0,261.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD14,0.1345,Common,269,0.9572953736654805,1.0,0.9781818181818182,3,0.930395913154534,0.9572953736654805,14.0,236.29999999999998,261.0,0.05204460966542751,1.0,3,1.0,3,1.0
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD16,0.004,Rare,8,0.0,0.0,0.0,0,,,261.0,261.0,261.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,NK,0.0525,Intermediate,105,0.9026548672566371,0.9714285714285714,0.9357798165137614,2,0.9044871794871795,0.9026548672566371,48.0,176.99999999999997,205.0,0.0,0.9714285714285714,2,0.4,2,0.4
D18,GARQ,0,instrumented_legacy,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,8.0,27.14999999999999,30.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Memory,0.2205,Common,441,0.5132743362831859,0.5260770975056689,0.5195968645016797,14,0.6964173476370298,0.5132743362831859,17.5,208.29999999999998,261.0,0.049886621315192746,0.5260770975056689,8,0.26666666666666666,6,0.2
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Naive,0.221,Common,442,0.6008492569002123,0.6402714932126696,0.6199342825848849,9,0.6694238295997131,0.6008492569002123,23.5,145.45000000000005,211.0,0.004524886877828055,0.6402714932126696,8,0.4,4,0.2
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Effector,0.12,Common,240,0.6583629893238434,0.7708333333333334,0.7101727447216891,6,0.7193895986578913,0.6583629893238434,30.0,205.6,211.0,0.0,0.7708333333333334,5,0.2631578947368421,4,0.21052631578947367
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Naive,0.0565,Intermediate,113,0.5,0.11504424778761062,0.18705035971223022,2,0.5119047619047619,0.5,40.0,166.14999999999998,211.0,0.0,0.11504424778761062,1,0.07142857142857142,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.DoubleNegative,0.001,Rare,2,0.0,0.0,0.0,0,,,140.5,203.95,211.0,0.0,0.0,0,0.0,0,0.0
