metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,229,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
1,291,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
2,11,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
3,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
4,47,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
5,138,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
6,10,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
7,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
8,158,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
9,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
10,13,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
11,116,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
12,115,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
13,80,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
14,29,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
15,5,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
16,13,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
17,6,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
18,15,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
19,47,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
20,20,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
21,5,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
22,35,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
23,36,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
24,270,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
25,33,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
26,2,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
27,26,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
28,17,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
29,6,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
30,32,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
31,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
32,26,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
33,22,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
34,19,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
35,18,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
36,12,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
37,40,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
38,15,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
39,9,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
