metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,101,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
1,125,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
2,22,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
3,27,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
4,4,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
5,22,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
6,241,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
7,7,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
8,29,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
9,19,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
10,41,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
11,49,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
12,73,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
13,57,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
14,70,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
15,38,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
16,24,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
17,67,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
18,10,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
19,66,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
20,3,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
21,9,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
22,54,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
23,48,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
24,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
25,108,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
26,13,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
27,14,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
28,319,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
29,203,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
30,12,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
31,11,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
32,22,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
33,25,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
34,11,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
35,10,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
36,1,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
37,8,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
38,6,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
39,17,D18,GARQ,0,instrumented_legacy,0.02,40,40,2000
