dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,instrumented_legacy,0.02,B.Activated,0.0325,Intermediate,65,0.0,0.0,0.0,0,,,183.0,235.2,241.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,B.Naive,0.1545,Common,309,0.8262032085561497,1.0,0.9048316251830161,3,0.8638893499308438,0.8262032085561497,125.0,229.39999999999998,241.0,0.025889967637540454,1.0,3,1.0,3,1.0
D18,GARQ,0,instrumented_legacy,0.02,DC.Myeloid,0.001,Rare,2,0.0,0.0,0.0,0,,,134.5,196.15,203.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD14,0.1345,Common,269,0.950354609929078,0.9962825278810409,0.9727767695099819,3,0.9531522117729015,0.950354609929078,39.5,182.44999999999996,203.0,0.048327137546468404,0.9962825278810409,3,0.75,3,0.75
D18,GARQ,0,instrumented_legacy,0.02,Mono.CD16,0.004,Rare,8,0.0,0.0,0.0,0,,,134.5,196.15,203.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,NK,0.0525,Intermediate,105,0.7142857142857143,0.8571428571428571,0.7792207792207793,6,0.6119155022336484,0.7142857142857143,19.0,218.1999999999999,319.0,0.0,0.8571428571428571,4,0.4444444444444444,3,0.3333333333333333
D18,GARQ,0,instrumented_legacy,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,66.0,293.7,319.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Memory,0.2205,Common,441,0.5792682926829268,0.21541950113378686,0.3140495867768595,8,0.5740176830966305,0.5792682926829268,24.5,160.24999999999972,319.0,0.0,0.21541950113378686,5,0.16666666666666666,1,0.03333333333333333
D18,GARQ,0,instrumented_legacy,0.02,T.CD4.Naive,0.221,Common,442,0.5593922651933702,0.916289592760181,0.6946826758147513,18,0.5886775649762597,0.5593922651933702,24.0,95.39999999999992,108.0,0.0022624434389140274,0.916289592760181,13,0.52,3,0.12
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Effector,0.12,Common,240,0.5242424242424243,0.7208333333333333,0.6070175438596492,2,0.4905956112852664,0.5242424242424243,23.0,107.64999999999999,319.0,0.0,0.7208333333333333,1,0.045454545454545456,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.CD8.Naive,0.0565,Intermediate,113,0.0,0.0,0.0,0,,,29.0,101.69999999999999,108.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,instrumented_legacy,0.02,T.DoubleNegative,0.001,Rare,2,0.0,0.0,0.0,0,,,43.5,67.35,70.0,0.0,0.0,0,0.0,0,0.0
