dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,instrumented_legacy,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,145.0,501.99999999999994,556.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,CD4 memory,0.0865,Intermediate,173,0.4,0.011560693641618497,0.02247191011235955,1,0.4,0.4,29.5,463.69999999999993,556.0,0.0,0.011560693641618497,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,CD4 naive I,0.0735,Intermediate,147,0.35714285714285715,0.10204081632653061,0.15873015873015872,4,0.55625,0.35714285714285715,23.0,449.5,556.0,0.006802721088435374,0.10204081632653061,2,0.125,1,0.0625
D5,GARQ,0,instrumented_legacy,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,35.0,447.9999999999999,556.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.5,0.08108108108108109,0.13953488372093023,1,0.5,0.5,14.5,407.4999999999998,556.0,0.0,0.08108108108108109,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,CD56dim CD16bright NK,0.206,Common,412,0.38414634146341464,0.7645631067961165,0.5113636363636365,20,0.6823587363875134,0.38414634146341464,14.0,337.1999999999998,556.0,0.07524271844660194,0.7645631067961165,12,0.36363636363636365,9,0.2727272727272727
D5,GARQ,0,instrumented_legacy,0.02,CD8 effector,0.06,Intermediate,120,0.0,0.0,0.0,0,,,48.0,474.9999999999998,556.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,CD8 memory,0.038,Intermediate,76,0.0,0.0,0.0,0,,,40.0,461.4999999999999,556.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,CD8 naive,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,40.0,461.4999999999999,556.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,Classical monocytes,0.1035,Common,207,0.4806763285024155,0.961352657004831,0.6409017713365539,1,0.4806763285024155,0.4806763285024155,224.5,395.04999999999995,414.0,0.0,0.961352657004831,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,Erythroid ,0.005,Rare,10,1.0,0.4,0.5714285714285715,1,1.0,1.0,14.0,112.6,129.0,0.4,0.4,1,0.2,1,0.2
D5,GARQ,0,instrumented_legacy,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.18181818181818182,0.5777777777777777,0.2765957446808511,1,0.18181818181818182,0.18181818181818182,48.0,474.9999999999998,556.0,0.0,0.5777777777777777,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,25.5,100.64999999999995,129.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,47.5,488.5,556.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,167.0,394.79999999999995,414.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,instrumented_legacy,0.02,Naive B,0.057,Intermediate,114,0.5444444444444444,0.8596491228070176,0.6666666666666667,3,0.5406353197050872,0.5444444444444444,47.5,342.75,414.0,0.0,0.8596491228070176,2,0.3333333333333333,0,0.0
