metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,86,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
1,39,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
2,5,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
3,243,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
4,38,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
5,114,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
6,6,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
7,18,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
8,4,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
9,3,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
10,75,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
11,9,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
12,26,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
13,6,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
14,5,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
15,188,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
16,2,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
17,3,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
18,6,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
19,114,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
20,95,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
21,1,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
22,4,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
23,3,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
24,70,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
25,5,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
26,7,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
27,5,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
28,91,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
29,70,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
30,7,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
31,233,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
32,6,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
33,6,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
34,3,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
35,2,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
36,2,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
37,380,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
38,14,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
39,6,D11,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
