metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,3,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
1,7,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
2,10,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
3,23,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
4,63,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
5,8,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
6,15,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
7,87,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
8,18,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
9,69,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
10,5,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
11,99,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
12,7,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
13,7,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
14,47,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
15,8,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
16,26,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
17,66,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
18,218,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
19,3,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
20,93,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
21,33,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
22,52,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
23,10,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
24,42,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
25,34,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
26,148,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
27,2,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
28,57,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
29,4,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
30,255,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
31,22,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
32,36,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
33,11,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
34,48,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
35,25,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
36,99,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
37,5,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
38,48,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
39,187,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
