dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Endothelial Cells,0.002,Rare,4,0.0,0.0,0.0,0,,,135.0,146.7,148.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Injured PT-like,0.0175,Intermediate,35,0.2857142857142857,0.05714285714285714,0.09523809523809522,2,0.35,0.2857142857142857,52.0,367.0499999999999,551.0,0.0,0.05714285714285714,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Low Quality / Dying,0.0355,Intermediate,71,0.0,0.0,0.0,0,,,33.0,266.4,551.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Mast Cells,0.004,Rare,8,0.0,0.0,0.0,0,,,192.0,503.7499999999999,551.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Myeloid Cells,0.0375,Intermediate,75,0.0,0.0,0.0,0,,,34.5,314.75,551.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Parietal Epithelial Cells,0.034,Intermediate,68,0.2727272727272727,0.04411764705882353,0.0759493670886076,2,0.26785714285714285,0.2727272727272727,25.0,268.0,551.0,0.0,0.04411764705882353,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Podocytes,0.083,Intermediate,166,0.3333333333333333,0.024096385542168676,0.0449438202247191,2,0.3125,0.3333333333333333,17.5,253.5999999999999,551.0,0.0,0.024096385542168676,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Proximal Tubule,0.4285,Common,857,0.6226259289843105,0.8798133022170361,0.7292069632495164,14,0.5612058978067703,0.6226259289843105,14.0,247.19999999999993,551.0,0.0,0.8798133022170361,8,0.23529411764705882,2,0.058823529411764705
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Stressed Tumor (p53+),0.0635,Intermediate,127,0.0,0.0,0.0,0,,,25.0,261.5999999999999,551.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,T Cells,0.007,Rare,14,0.0,0.0,0.0,0,,,78.5,440.74999999999983,551.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Tumor (Neuronal-like),0.0845,Intermediate,169,0.3333333333333333,0.01775147928994083,0.03370786516853933,1,0.3333333333333333,0.3333333333333333,19.0,258.4,551.0,0.0,0.01775147928994083,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Tumor Epithelial,0.203,Common,406,0.4653333333333333,0.8596059113300493,0.6038062283737023,19,0.4832157235837469,0.4653333333333333,12.5,250.39999999999998,551.0,0.009852216748768473,0.8596059113300493,3,0.09375,2,0.0625
