metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,37,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
1,8,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
2,6,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
3,12,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
4,2,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
5,36,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
6,61,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
7,133,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
8,3,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
9,554,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
10,4,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
11,9,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
12,5,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
13,7,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
14,9,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
15,6,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
16,7,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
17,83,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
18,24,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
19,9,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
20,32,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
21,10,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
22,3,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
23,15,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
24,18,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
25,264,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
26,55,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
27,5,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
28,12,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
29,37,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
30,11,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
31,5,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
32,66,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
33,10,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
34,8,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
35,165,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
36,11,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
37,16,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
38,4,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
39,238,D17,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
