dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Endothelial Cells,0.002,Rare,4,0.0,0.0,0.0,0,,,427.5,454.05,457.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Injured PT-like,0.0175,Intermediate,35,0.2,0.02857142857142857,0.049999999999999996,1,0.2,0.2,96.0,421.5999999999999,457.0,0.0,0.02857142857142857,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Low Quality / Dying,0.0355,Intermediate,71,0.25,0.014084507042253521,0.02666666666666667,1,0.25,0.25,66.5,406.8499999999999,457.0,0.0,0.014084507042253521,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Mast Cells,0.004,Rare,8,0.0,0.0,0.0,0,,,145.5,182.85,187.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Myeloid Cells,0.0375,Intermediate,75,0.0,0.0,0.0,0,,,81.0,415.69999999999993,457.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Parietal Epithelial Cells,0.034,Intermediate,68,0.3076923076923077,0.058823529411764705,0.09876543209876543,3,0.3452380952380952,0.3076923076923077,17.0,398.0,457.0,0.0,0.058823529411764705,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Podocytes,0.083,Intermediate,166,0.4,0.024096385542168676,0.045454545454545456,2,0.41666666666666663,0.4,18.5,345.25,457.0,0.0,0.024096385542168676,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Proximal Tubule,0.4285,Common,857,0.43653250773993807,0.9871645274212368,0.6053667262969589,27,0.4513501000385688,0.43653250773993807,15.0,229.1999999999991,457.0,0.002333722287047841,0.9871645274212368,5,0.13513513513513514,1,0.02702702702702703
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Stressed Tumor (p53+),0.0635,Intermediate,127,0.0,0.0,0.0,0,,,24.0,366.34999999999957,457.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,T Cells,0.007,Rare,14,0.0,0.0,0.0,0,,,123.0,439.29999999999995,457.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Tumor (Neuronal-like),0.0845,Intermediate,169,0.3333333333333333,0.011834319526627219,0.022857142857142854,1,0.3333333333333333,0.3333333333333333,20.0,345.25,457.0,0.0,0.011834319526627219,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Tumor Epithelial,0.203,Common,406,0.5416666666666666,0.03201970443349754,0.06046511627906977,5,0.6083333333333333,0.5416666666666666,16.0,250.2999999999994,457.0,0.007389162561576354,0.03201970443349754,2,0.05714285714285714,1,0.02857142857142857
