dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Endothelial Cells,0.002,Rare,4,0.0,0.0,0.0,0,,,152.5,349.24999999999994,374.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Injured PT-like,0.0175,Intermediate,35,0.0,0.0,0.0,0,,,111.5,314.04999999999995,374.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Low Quality / Dying,0.0355,Intermediate,71,0.3333333333333333,0.014084507042253521,0.027027027027027032,1,0.3333333333333333,0.3333333333333333,30.0,281.34999999999985,374.0,0.0,0.014084507042253521,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Mast Cells,0.004,Rare,8,0.0,0.0,0.0,0,,,104.0,249.2,265.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Myeloid Cells,0.0375,Intermediate,75,0.9347826086956522,0.5733333333333334,0.7107438016528925,2,0.861842105263158,0.9347826086956522,73.0,234.19999999999996,265.0,0.0,0.5733333333333334,2,0.16666666666666666,2,0.16666666666666666
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Parietal Epithelial Cells,0.034,Intermediate,68,0.3333333333333333,0.014705882352941176,0.028169014084507043,1,0.3333333333333333,0.3333333333333333,31.5,262.19999999999993,374.0,0.0,0.014705882352941176,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Podocytes,0.083,Intermediate,166,0.3333333333333333,0.012048192771084338,0.023255813953488372,1,0.3333333333333333,0.3333333333333333,34.0,256.5999999999999,374.0,0.0,0.012048192771084338,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Proximal Tubule,0.4285,Common,857,0.7328699106256207,0.8611435239206534,0.7918454935622318,19,0.7147122935190737,0.7328699106256207,16.5,234.19999999999996,374.0,0.011668611435239206,0.8611435239206534,17,0.53125,10,0.3125
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Stressed Tumor (p53+),0.0635,Intermediate,127,0.35135135135135137,0.10236220472440945,0.1585365853658537,3,0.38848039215686275,0.35135135135135137,25.0,251.0,374.0,0.0,0.10236220472440945,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,T Cells,0.007,Rare,14,0.0,0.0,0.0,0,,,73.0,324.9499999999999,374.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Tumor (Neuronal-like),0.0845,Intermediate,169,0.46153846153846156,0.10650887573964497,0.1730769230769231,4,0.4513888888888889,0.46153846153846156,21.0,275.89999999999975,374.0,0.0,0.10650887573964497,2,0.10526315789473684,0,0.0
D17,GARQ,0,diagnostic_variant_modality_weight,0.02,Tumor Epithelial,0.203,Common,406,0.46332945285215366,0.9802955665024631,0.6292490118577075,9,0.5867097205451095,0.46332945285215366,14.0,233.0,374.0,0.0049261083743842365,0.9802955665024631,5,0.3125,3,0.1875
