metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,25,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
1,10,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
2,23,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
3,10,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
4,27,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
5,29,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
6,9,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
7,119,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
8,10,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
9,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
10,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
11,65,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
12,55,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
13,280,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
14,33,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
15,117,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
16,9,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
17,10,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
18,42,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
19,247,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
20,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
21,93,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
22,61,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
23,7,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
24,125,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
25,7,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
26,87,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
27,3,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
28,14,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
29,9,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
30,30,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
31,4,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
32,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
33,73,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
34,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
35,9,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
36,11,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
37,15,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
38,258,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
39,28,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
