metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,14,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
1,11,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
2,8,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
3,91,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
4,171,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
5,9,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
6,84,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
7,7,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
8,14,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
9,170,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
10,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
11,139,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
12,99,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
13,21,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
14,90,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
15,43,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
16,51,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
17,3,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
18,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
19,7,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
20,18,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
21,109,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
22,27,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
23,14,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
24,16,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
25,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
26,21,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
27,30,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
28,48,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
29,27,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
30,31,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
31,33,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
32,81,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
33,248,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
34,14,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
35,44,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
36,41,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
37,11,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
38,60,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
39,66,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
