metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,11,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
1,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
2,97,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
3,8,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
4,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
5,16,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
6,90,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
7,4,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
8,84,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
9,45,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
10,16,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
11,13,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
12,25,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
13,37,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
14,7,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
15,170,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
16,2,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
17,28,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
18,36,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
19,22,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
20,9,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
21,41,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
22,310,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
23,2,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
24,8,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
26,19,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
27,158,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
28,17,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
29,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
30,39,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
31,68,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
32,4,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
33,261,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
34,59,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
35,32,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
36,204,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
37,10,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
38,7,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
39,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,39,2000
