metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,11,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
1,14,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
2,1,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
3,26,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
4,4,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
5,28,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
6,13,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
7,177,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
8,49,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
9,7,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
10,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
11,582,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
12,41,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
13,4,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
14,101,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
15,29,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
16,10,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
17,4,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
18,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
19,34,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
20,111,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
21,3,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
22,15,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
23,12,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
24,31,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
25,2,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
26,4,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
27,8,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
28,20,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
29,1,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
30,359,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
31,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
32,217,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
33,5,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
34,15,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
35,10,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
36,13,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
37,15,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
38,1,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
39,8,D18,GARQ,0,diagnostic_variant_modality_weight,0.02,40,40,2000
